Date,Event,Passage,Source
2016,"The Texas Court of Appeals explains that an associate judge in Texas has the authority to recommend an order, but it only becomes final and appealable once signed by the referring court.","""Gerke v. Kantara, 492 S.W.3d 791 (Tex. App. 2016)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 6)"
2017,"In the case of Poff v. Guzman, the Texas Court of Appeals recognized that the trial court had the statutory authority to dismiss a case upon finding that an affidavit of indigence was fraudulent, citing Texas Civil Practice and Remedies Code § 13.001(a)(1). This case illustrates the application of the statute in dismissing cases where false affidavits are filed.","""In Poff v. Guzman, 532 S.W.3d 867 (Tex. App. 2017), the court recognized that the trial court had statutory authority to dismiss a case upon finding that an affidavit of indigence was fraudulent, citing § 13.001(a)(1).""","(vLex-Vincent-Can-a-divorce-case-be.pdf, p. 1)"
2017,"In Poff v. Guzman, the Texas Court of Appeals ruled that under Texas law, specifically Tex. Civ. Prac. & Rem. Code § 13.001(a)(1), a trial court has the authority to dismiss a case if it finds that an affidavit of indigence is fraudulent. This case applies to any case where such an affidavit is filed, including divorce cases.","""Poff v. Guzman, 532 S.W.3d 867 (Tex. App. 2017)""","(id., p. 5)"
2017,"The case 'In re E.B.' was referenced, indicating a legal proceeding or decision that took place in 2017.","""In re E.B., No. 12-17-00214-CV, 2017""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 1)"
2017,"The case 'In re E.B.' was referenced, indicating a legal proceeding related to the revocation of consent in Texas.","""In re E.B., No. 12-17-00214-CV, 2017""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 1)"
2017,"The Texas Supreme Court clarified that under Texas Family Code § 201.104(d), only the referring court, not the associate judge, has the authority to hear and render an order on a motion for postjudgment relief, which includes a motion to vacate.","""Office of the Attorney Gen. of Tex. v. C.W.H., 531 S.W.3d 178 (Tex. 2017)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 7)"
2017,"The Texas Supreme Court clarifies that under Texas Family Code § 201.104(d), only the referring court, not the associate judge, has the authority to hear and render an order on a motion for postjudgment relief, which includes a motion to vacate.","""Office of the Attorney Gen. of Tex. v. C.W.H., 531 S.W.3d 178 (Tex. 2017)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 7)"
"May 9, 2017","The case 'In re Interest of N.M.' was referenced, indicating a legal proceeding or decision that took place on May 9, 2017.","""In re Interest of N.M., No. 07-16-00439-CV (Tex. App. May 09, 2017)""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 5)"
"May 9, 2017","The case 'In re Interest of N.M.' was referenced, indicating a legal proceeding related to the right to request a de novo hearing in Texas.","""In re Interest of N.M., No. 07-16-00439-CV (Tex. App. May 09, 2017)""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 5)"
"June 15, 2017","In the case In re Interest of B.O., the Texas Court of Appeals considered various factors related to parental fitness, including the caregiving history of the parents, their lifestyle choices, the potential impact of separation on the child, and the parents' intentions and behaviors.","""In re Interest of B.O., NO. 02-16-00485-CV (Tex. App. Jun 15, 2017)""","(vLex-Vincent-What-factors-can-a-trial.pdf, p. 4)"
"August 8, 2017","In the case of In re Interest of B.T.G., the Texas Court of Appeals discussed procedural consequences short of dismissal, such as granting a new trial, when a false affidavit is found. This case illustrates that while dismissal is a possible outcome, courts may also choose alternative remedies.","""While some supplementary cases, such as In re Interest of B.T.G., No. 05-16-00370-CV (Tex. App. Aug. 8, 2017), discuss procedural consequences short of dismissal (such as granting a new trial), these do not contradict the clear statutory and precedential authority for dismissal where a false affidavit is found.""","(vLex-Vincent-Can-a-divorce-case-be.pdf, p. 1)"
"August 8, 2017","In the case of In re Interest of B.T.G., the Texas Court of Appeals allowed the Wife to proceed without paying court fees even after her affidavit of inability to pay was challenged and sustained. The Husband's complaint was overruled because he received a new trial on that basis and did not object further. This case illustrates that challenges to affidavits can lead to procedural consequences, such as a new trial, rather than automatic dismissal.","""In re Interest of B.T.G., No. 05-16-00370-CV (Tex. App. Aug 08, 2017)""","(id., p. 3)"
"October 18, 2017","The case 'In re E.B.' was referenced, indicating a legal proceeding or decision that took place on October 18, 2017.","""In re E.B., NO. 12-17-00214-CV (Tex. App. Oct 18, 2017)""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 3)"
"October 18, 2017","The case 'In re E.B.' was referenced, indicating a legal proceeding related to the void nature of an agreed judgment rendered after consent is revoked in Texas.","""In re E.B., NO. 12-17-00214-CV (Tex. App. Oct 18, 2017)""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 3)"
2018,"The case 'In re M.F.' was referenced, indicating a legal proceeding or decision that took place in 2018.","""In re M.F., No. 07-17-00407-CV, 2018""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 1)"
2018,"The Texas Supreme Court case 'In re A.C.' was documented, discussing the child-centered focus of the best-interest determination in custody cases.","""In re A.C., 560 S.W.3d 624 (Tex. 2018)""","(vLex-Vincent-What-factors-can-a-trial.pdf, p. 8)"
2018,"The Texas Court of Appeals case 'Howe v. Howe' was documented, emphasizing the primary consideration of the best interest of the child in custody cases.","""Howe v. Howe, 551 S.W.3d 236 (Tex. App. 2018)""","(id., p. 8)"
2018,"The case 'In re M.F.' was referenced, indicating a legal proceeding related to the mandatory nature of de novo hearings in Texas.","""In re M.F., No. 07-17-00407-CV, 2018""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 1)"
2018,"The Texas Court of Appeals ruled that an associate judge's report is not a final order unless certain statutory conditions are met. The associate judge can only make recommendations, and the referring court has the authority to adopt, modify, or reject these recommendations.","""Alwazzan v. Alwazzan, 596 S.W.3d 789 (Tex. App. 2018)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 3)"
2018,"The Texas Court of Appeals rules that an associate judge's report is not a final order unless certain statutory conditions are met. The associate judge can only make recommendations, and the referring court has the authority to adopt, modify, or reject these recommendations.","""Alwazzan v. Alwazzan, 596 S.W.3d 789 (Tex. App. 2018)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 3)"
"March 12, 2018","The case 'In re M.F.' was referenced, indicating a legal proceeding or decision that took place on March 12, 2018.","""In re M.F., No. 07-17-00407-CV (Tex. App. Mar 12, 2018)""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 5)"
"March 12, 2018","The case 'In re M.F.' was referenced, indicating a legal proceeding related to the entitlement to a de novo hearing in Texas.","""In re M.F., No. 07-17-00407-CV (Tex. App. Mar 12, 2018)""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 5)"
"October 12, 2018 and 2015","In the cases of Araguz v. Clinton and Hsin-Chi-Su v. Vantage Drilling Co., the Texas Court of Appeals confirmed that jurisdiction re-vests in the state court only when the federal court executes the remand order and a certified copy is filed with the state court.","""Araguz v. Clinton, No. 13-18-00526-CV (Tex. App. Oct. 12, 2018) and Hsin-Chi-Su v. Vantage Drilling Co., 474 S.W.3d 284 (Tex. App. 2015), further confirm that jurisdiction re-vests in the state court only when the federal court executes the remand order and a certified copy is filed with the state court.""","(vLex-Vincent-Is-the-plaintiff-required-to.pdf, p. 1)"
"October 12, 2018",The Texas Court of Appeals in Araguz v. Clinton specifies that the state court loses jurisdiction once the case is removed to federal court and only regains it when a certified copy of the remand order is mailed to the state court. This decision highlights the importance of the procedural requirement of filing a certified copy of the remand order for jurisdictional purposes.,"""Araguz v. Clinton, NUMBER 13-18-00526-CV (Tex. App. Oct 12, 2018) specifies that the state court loses jurisdiction once the case is removed and only regains it when a certified copy of the remand order is mailed to the state court.""","(vLex-Vincent-Does-a-defendant's-prior-answer.pdf, p. 4)"
2019,"The case 'M.J.M. v. Tex. Dep’t of Family & Protective Servs.' was referenced, indicating a legal proceeding or decision that took place in 2019.","""M.J.M. v. Tex. Dep’t of Family & Protective Servs., No. 03-19-00336-CV, 2019""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 1)"
2019,"The case 'In re Interest of A.L.M.-F.' was referenced, indicating a legal proceeding or decision that took place in 2019.","""In re Interest of A.L.M.-F., 593 S.W.3d 271 (Tex. 2019)""","(id., p. 4)"
2019,"The case 'M.J.M. v. Tex. Dep’t of Family & Protective Servs.' was referenced, indicating a legal proceeding related to the right to a de novo hearing in Texas.","""M.J.M. v. Tex. Dep’t of Family & Protective Servs., No. 03-19-00336-CV, 2019""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 1)"
2019,"The case 'In re Interest of A.L.M.-F.' was referenced, indicating a legal proceeding related to the right to request a de novo hearing in Texas.","""In re Interest of A.L.M.-F., 593 S.W.3d 271 (Tex. 2019)""","(id., p. 4)"
2019,"The Texas Supreme Court ruled that if a party objects to an associate judge hearing a trial on the merits, the referring court must hear the trial. This implies that the associate judge would not have jurisdiction to hear the case if there is a timely objection.","""In re Interest of A.L.M.-F., 593 S.W.3d 271 (Tex. 2019)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 3)"
2019,"The Texas Supreme Court explains that if a party objects to an associate judge hearing a trial on the merits, the referring court must hear the trial. This implies that the associate judge would not have jurisdiction to hear the case if there is a timely objection.","""In re Interest of A.L.M.-F., 593 S.W.3d 271 (Tex. 2019)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 3)"
"March 21, 2019","The case 'In re S.S.R.' was referenced, indicating a legal proceeding or decision that took place on March 21, 2019.","""In re S.S.R., NUMBER 13-18-00576-CV (Tex. App. Mar 21, 2019)""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 5)"
"March 21, 2019","The case 'In re S.S.R.' was referenced, indicating a legal proceeding related to the entitlement to a de novo hearing in Texas.","""In re S.S.R., NUMBER 13-18-00576-CV (Tex. App. Mar 21, 2019)""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 5)"
"June 06, 2019","The Texas Court of Appeals issued a decision in the case of In re Houston Livestock Show & Rodeo, Inc., NO. 01-18-00825-CV, on June 06, 2019. This case highlighted the procedural requirement that a motion to consolidate should be heard in the court where the first filed case is pending.","""In re Houston Livestock Show & Rodeo, Inc., NO. 01-18-00825-CV (Tex. App. Jun 06, 2019).""","(vLex-Vincent-Is-it-appropriate-for-a.pdf, p. 6)"
"Jul 11, 2019","The Texas Court of Appeals ruled that a party can object to an associate judge within ten days of receiving notice, and that the associate judge's rulings are subject to de novo review.","""Zavala v. Carrera, NUMBER 13-18-00217-CV (Tex. App. Jul 11, 2019)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 4)"
"Jul 11, 2019","The Texas Court of Appeals explains that a party can object to an associate judge within ten days of receiving notice, and that the associate judge's rulings are subject to de novo review.","""Zavala v. Carrera, NUMBER 13-18-00217-CV (Tex. App. Jul 11, 2019)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 4)"
"Jul 18, 2019","The Texas Court of Appeals ruled that a party can object to an associate judge's involvement in a trial, which may affect the jurisdiction of the trial court. The ruling of an associate judge is subject to de novo review.","""Zavala v. De Hoyos, NUMBER 13-18-00612-CV (Tex. App. Jul 18, 2019)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 5)"
"Jul 18, 2019",The Texas Court of Appeals provides information on the process of objecting to an associate judge in Texas and the implications for subject matter jurisdiction.,"""Zavala v. De Hoyos, NUMBER 13-18-00612-CV (Tex. App. Jul 18, 2019)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 5)"
"August 7, 2019","The Texas Court of Appeals ruled in Dall. Cnty. Hosp. Dist. v. Wilson that when a case is remanded from federal court to state court, the state court resumes proceedings from the point they were at before the case was removed to federal court.","""Dall. Cnty. Hosp. Dist. v. Wilson, No. 05-18-01049-CV (Tex. App. Aug 07, 2019)""","(vLex-Vincent-Is-Rule-237a-of-the.pdf, p. 3)"
"August 27, 2019","The case 'In re E.O.' was referenced, indicating a legal proceeding or decision that took place on August 27, 2019.","""In re E.O., NO. 01-19-00207-CV, NO. 01-19-00371-CV (Tex. App. Aug 27, 2019)""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 4)"
"August 27, 2019","The case 'In re E.O.' was referenced, indicating a legal proceeding related to the right to request a de novo hearing in Texas.","""In re E.O., NO. 01-19-00207-CV, NO. 01-19-00371-CV (Tex. App. Aug 27, 2019)""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 4)"
"Sep 19, 2019","The Texas Court of Appeals case 'In re M.B.' was documented, discussing the broad discretion of a trial court to consolidate cases involving a common question of law or fact under Texas Rule of Civil Procedure 174(a).","""In re M.B., No. 05-19-00971-CV, No. 05-19-00973-CV (Tex. App. Sep 19, 2019)""","(vLex-Vincent-Is-it-appropriate-for-a.pdf, p. 7)"
"December 13, 2019","The case 'M. J. M. v. Tex. Dep't of Family & Protective Servs.' was referenced, indicating a legal proceeding or decision that took place on December 13, 2019.","""M. J. M. v. Tex. Dep't of Family & Protective Servs., NO. 03-19-00336-CV (Tex. App. Dec 13, 2019)""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 6)"
"December 13, 2019","The case 'M. J. M. v. Tex. Dep't of Family & Protective Servs.' was referenced, indicating a legal proceeding related to the awareness of the right to request a de novo hearing in Texas.","""M. J. M. v. Tex. Dep't of Family & Protective Servs., NO. 03-19-00336-CV (Tex. App. Dec 13, 2019)""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 6)"
"Dec 19, 2019","A party filed a timely objection to an assigned or associate judge, resulting in the automatic disqualification of the judge, who is then prohibited from hearing the case.","""In re Moore, NUMBER 13-19-00551-CV (Tex. App. Dec 19, 2019)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 2)"
"Dec 19, 2019","The Texas Court of Appeals ruled that if a party files a timely objection to an assigned judge under Section 74.053 of the Texas Government Code, the disqualification of the assigned judge is automatic.","""In re Moore, NUMBER 13-19-00551-CV (Tex. App. Dec 19, 2019)""","(id., p. 5)"
"Dec 19, 2019","A party files a timely objection to an assigned or associate judge, resulting in the automatic disqualification of the judge, prohibiting them from hearing the case.","""In re Moore, NUMBER 13-19-00551-CV (Tex. App. Dec 19, 2019)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 2)"
"Dec 19, 2019","The Texas Court of Appeals explains that if a party files a timely objection to an assigned judge under Section 74.053 of the Texas Government Code, the disqualification of the assigned judge is automatic.","""In re Moore, NUMBER 13-19-00551-CV (Tex. App. Dec 19, 2019)""","(id., p. 5)"
2020,The case of Quaestor Investments was abrogated by Ex parte E.H. on unrelated grounds.,"""Quaestor Investments was abrogated by Ex parte E.H., 602 S.W.3d 486 (Tex. 2020) on unrelated grounds.""","(vLex-Vincent-Is-the-plaintiff-required-to.pdf, p. 1)"
2020,"The Texas Court of Appeals ruled that if a party files a written objection to an associate judge hearing the trial, the referring court must hear the trial on the merits.","""Caballero v. Vig, 600 S.W.3d 452 (Tex. App. 2020)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 5)"
2020,"The Texas Court of Appeals indicates that if a party files a written objection to an associate judge hearing the trial, the referring court must hear the trial on the merits.","""Caballero v. Vig, 600 S.W.3d 452 (Tex. App. 2020)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 5)"
2020,"The case Quaestor Investments was abrogated by Ex parte E.H., although the abrogation concerned issues of appellate procedure and did not directly address the interpretation of Rule 237a.","""It is important to note that Quaestor Investments was later abrogated by Ex parte E.H., 602 S.W.3d 486 (Tex. 2020).""","(vLex-Vincent-Is-Rule-237a-of-the.pdf, p. 1)"
"March 26, 2020","The case 'Alwazzan v. Alwazzan' was referenced, indicating a legal proceeding or decision that took place on March 26, 2020.","""Alwazzan v. Alwazzan, NO. 01-16-00589-CV (Tex. App. Mar 26, 2020)""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 6)"
"March 26, 2020","The case 'Alwazzan v. Alwazzan' was referenced, indicating a legal proceeding related to the waiver of a de novo hearing in Texas.","""Alwazzan v. Alwazzan, NO. 01-16-00589-CV (Tex. App. Mar 26, 2020)""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 6)"
"April 28, 2020","The Texas Court of Appeals issued a decision in the case of Raj v. Four Star Bus., Inc., NO. 01-19-00284-CV, on April 28, 2020. This case discussed the broad discretion Texas courts have to consolidate cases, especially when they involve common questions of law or fact.","""Raj v. Four Star Bus., Inc., NO. 01-19-00284-CV (Tex. App. Apr 28, 2020).""","(vLex-Vincent-Is-it-appropriate-for-a.pdf, p. 6)"
2021,"The case 'In re J.M.C.' was referenced, indicating a legal proceeding or decision that took place in 2021.","""In re J.M.C., No. 08-21-00000-CV, 2021""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 1)"
2021,"The case 'In re J.M.C.' was referenced, indicating a legal proceeding related to the right to a de novo hearing in Texas.","""In re J.M.C., No. 08-21-00000-CV, 2021""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 1)"
"Mar. 25, 2021","The Texas Court of Appeals case 'In re M.A.A.' was documented, highlighting the relevance of how a parent has treated another child in the best-interest analysis.","""In re M.A.A., No. 01-20-00709-CV, 2021 WL 1134308, at *23 (Tex. App.-Houston [1st Dist.] Mar. 25, 2021, no pet.) (mem. op.)""","(vLex-Vincent-What-factors-can-a-trial.pdf, p. 7)"
"April 7, 2021","The article 'The Many Looks of Physical Custody: A Parenting Plan for Every Situation' was published, providing insight into the general standard used by courts, which is the best interest of the child.","""The Many Looks of Physical Custody: A Parenting Plan for Every Situation Family Advocate - American Bar Association - Maleaha L. Brown - 2021-04-07""","(id., p. 13)"
"May 19, 2021","In the case In re T.A.G., the Texas Court of Appeals emphasized the relevance of a parent's willingness and ability to provide a safe environment, seek counseling, and effect positive changes in determining parental fitness.","""The willingness and ability of a parent to provide a safe environment, seek counseling, and effect positive changes are also relevant (In re T.A.G., No. 04-20-00565-CV (Tex. App. May 19, 2021)).""","(id., p. 2)"
"May 19, 2021","In the case In re T.A.G., the Texas Court of Appeals considered the factors set forth in Texas Family Code section 263.307(b) and the non-exhaustive Holley factors to determine whether a child's parent is willing and able to provide the child with a safe environment.","""In re T.A.G., No. 04-20-00565-CV (Tex. App. May 19, 2021)""","(id., p. 6)"
"Oct. 21, 2021","The Texas Court of Appeals reiterated that courts may consider a parent’s conduct, including dishonesty, as part of the best interest determination in the case of In re V.L.M.","""In re V.L.M. (Tex. App. Oct. 21, 2021)""","(vLex-Vincent-In-Texas,-would-lying-on.pdf, p. 1)"
2022,"The Texas Court of Appeals issued a decision in the case of In re Caddell, 649 S.W.3d 857, in 2022. This case highlighted the limitations on a judge's authority to act in the face of a timely objection to their assignment under Texas Government Code § 74.053.","""In re Caddell, 649 S.W.3d 857 (Tex. App. 2022).""","(vLex-Vincent-Is-it-appropriate-for-a.pdf, p. 2)"
"Feb. 3, 2022",The Texas Court of Appeals referenced the importance of considering acts or omissions that may indicate an improper parent-child relationship in the case of In re E.M.R.,"""In re E.M.R. (Tex. App. Feb. 3, 2022)""","(vLex-Vincent-In-Texas,-would-lying-on.pdf, p. 1)"
Not specified,"In the case In re M.T., the Texas Court of Appeals emphasized that the best-interest inquiry is child-centered and focuses on the child's well-being, safety, and development. The court may consider several factors to determine the child's best interest.","""In re M.T.""","(vLex-Vincent-What-factors-can-a-trial.pdf, p. 5)"
"August 11, 2022","The Texas Court of Appeals issued a decision in the case of In re Cano, No. 03-22-00456-CV, on August 11, 2022. This case, along with Crestway Care Center, Inc. v. Berchelmann, emphasized the need for trial courts to balance judicial economy against the risk of unfairness or jury confusion when considering consolidation.","""In re Cano, No. 03-22-00456-CV (Tex. App. Aug. 11, 2022); Crestway Care Center, Inc. v. Berchelmann, 945 S.W.2d 872 (Tex. App. 1997).""","(vLex-Vincent-Is-it-appropriate-for-a.pdf, p. 1)"
"August 17, 2022","In the case In re S.C., Texas courts considered evidence of how a parent has treated other children or a spouse, particularly in cases involving endangerment or abuse. This case highlights the importance of evaluating a parent's behavior towards other family members in custody determinations.","""Texas courts also consider evidence of how a parent has treated other children or a spouse, especially in cases involving endangerment or abuse (In re S.C., 04-22-00125-CV (Tex. App. Aug 17, 2022)).""","(vLex-Vincent-What-factors-can-a-trial.pdf, p. 2)"
"Aug 17, 2022","The Texas Court of Appeals case 'In re S.C.' was documented, providing insights into the factors considered in determining the best interest of the child in custody cases.","""In re S.C., 04-22-00125-CV (Tex. App. Aug 17, 2022) Texas Court of Appeals""","(id., p. 7)"
2023,"The case 'In re A.C.' was referenced, indicating a legal proceeding or decision that took place in 2023.","""In re A.C., No. 03-23-00000-CV, 2023""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 1)"
Not specified,"The case 'In re H.M.G.' was referenced, indicating a legal proceeding or decision.","""In re H.M.G.""","(id., p. 4)"
Not specified,"The case 'In re Harris' was referenced, indicating a legal proceeding or decision.","""In re Harris""","(id., p. 5)"
Not specified,"The case 'In re A.C.' was referenced, indicating a legal proceeding or decision.","""In re A.C.""","(id., p. 6)"
Not specified,"The case 'In re J.M.C.' was referenced, indicating a legal proceeding or decision.","""In re J.M.C.""","(id., p. 7)"
"January 1, 2023","The article 'Coercive Control in High-Conflict Custody Litigation' was published, discussing the universal legal standard for child custody determinations as the 'best interest of the child.'","""Coercive Control in High-Conflict Custody Litigation Family Law Quarterly - American Bar Association - Gillian R. Chadwick and Stef Sloan - 2023-01-01""","(vLex-Vincent-What-factors-can-a-trial.pdf, p. 12)"
2023,"The case 'In re A.C.' was referenced, indicating a legal proceeding related to the right to a de novo hearing in Texas.","""In re A.C., No. 03-23-00000-CV, 2023""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 1)"
Unknown,"The case 'In re H.M.G.' was referenced, indicating a legal proceeding related to the non-jurisdictional nature of the failure to convene a de novo hearing within the 30-day limit in Texas.","""In re H.M.G.""","(id., p. 4)"
Unknown,"The case 'In re Harris' was referenced, indicating a legal proceeding related to the procedure for requesting a de novo hearing in Texas.","""In re Harris""","(id., p. 5)"
Unknown,"The case 'In re A.C.' was referenced, indicating a legal proceeding related to the procedural requirements for requesting a de novo hearing in Texas.","""In re A.C.""","(id., p. 6)"
Unknown,"The case 'In re J.M.C.' was referenced, indicating a legal proceeding related to the referral of cases to associate judges in Texas.","""In re J.M.C.""","(id., p. 7)"
2023,"The Texas Family Code allows a judge to refer certain matters, including a suit affecting the parent-child relationship, to an associate judge for a ruling. A party may request a de novo hearing before the referring court by filing a written request within three days of receiving notice of the associate judge's order.","""In re A.C.""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 5)"
2023,The Texas Family Code provides for the appointment of associate judges to assist with completing Title IV-D child support cases referred to an associate judge by an appropriate court. An associate judge may hold a trial on the merits and recommend an order to the referring district court.,"""In re N.M.""","(id., p. 6)"
2023,"The Texas Family Code allows a judge to refer certain matters, including a suit affecting the parent-child relationship, to an associate judge for a ruling. A party may request a de novo hearing before the referring court by filing a written request within three days of receiving notice of the associate judge's order.","""In re A.C.""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 5)"
2023,The Texas Family Code provides for the appointment of associate judges to assist with completing Title IV-D child support cases referred to an associate judge by an appropriate court. An associate judge may hold a trial on the merits and recommend an order to the referring district court.,"""In re N.M.""","(id., p. 6)"
"January 11, 2023","The Texas Court of Appeals issued a decision in the case of In re McGowan, 03-22-00726-CV, on January 11, 2023. This case reinforced the requirement that consolidation under Rule 174(a) is only proper when the cases are pending before a single court, and a valid transfer must occur before consolidation if the cases are in different courts.","""In re McGowan, 03-22-00726-CV (Tex. App. Jan 11, 2023).""","(vLex-Vincent-Is-it-appropriate-for-a.pdf, p. 1)"
"Jan 11, 2023","The Texas Court of Appeals case 'In re McGowan' was documented, highlighting the abuse of discretion by a presiding judge who consolidated two court proceedings pending before different courts without a valid transfer.","""In re McGowan, 03-22-00726-CV (Tex. App. Jan 11, 2023)""","(id., p. 7)"
"May 1, 2023",A publication on federal litigation procedure by Pamela Everett Nollkamper was released.,"""Federal litigation procedure - Legal Secretary Federal Litigation - James Publishing - Pamela Everett Nollkamper - 2023-05-01""","(vLex-Vincent-Is-the-plaintiff-required-to.pdf, p. 5)"
"Jun 13, 2023","The Texas Court of Appeals case 'A. P. v. Tex. Dep't of Family & Protective Servs.' was documented, emphasizing the trial court's broad discretion to consolidate cases that relate to substantially the same transaction or subject matter, while ensuring that the parties' rights to a fair trial are not compromised.","""A. P. v. Tex. Dep't of Family & Protective Servs., 03-23-00089-CV (Tex. App. Jun 13, 2023)""","(vLex-Vincent-Is-it-appropriate-for-a.pdf, p. 7)"
"July 7, 2023",The Texas Court of Appeals explained that there must be a logical connection between the parent’s conduct and harm to the child in the case of W.G. v. Tex. Dep't of Family & Protective Servs.,"""W.G. v. Tex. Dep't of Family & Protective Servs. (Tex. App. July 7, 2023)""","(vLex-Vincent-In-Texas,-would-lying-on.pdf, p. 1)"
"July 30, 2023","The publication 'Texas Employment Law. Volume 2' by James Publishing was documented, reiterating the court's discretion to order consolidation despite opposition, as long as it serves the purpose of conserving court resources and there are common questions of fact and law.","""Texas Employment Law. Volume 2 - 2016 - James Publishing - 2023-07-30""","(vLex-Vincent-Is-it-appropriate-for-a.pdf, p. 9)"
"August 16, 2023","The publication 'Texas Employment Law. Volume 2' by James Publishing was documented, highlighting the court's discretion to order consolidation despite opposition from one or both parties, emphasizing the importance of conserving court resources.","""Texas Employment Law. Volume 2 - 2014 - James Publishing - 2023-08-16""","(id., p. 8)"
Not specified,The case of Curry v. Dell Pub. Co. was overruled by Antonio v. Marino.,"""Curry v. Dell Pub. Co. was stated as overruled by Antonio v. Marino.""","(vLex-Vincent-Is-the-plaintiff-required-to.pdf, p. 2)"
2024,"The case 'In re Harris' was referenced, indicating a legal proceeding or decision that took place in 2024.","""In re Harris, No. 01-23-00000-CV, 2024""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 1)"
2024,"The case 'In re Harris' was referenced, indicating a legal proceeding related to the right to a de novo hearing in Texas.","""In re Harris, No. 01-23-00000-CV, 2024""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 1)"
"April 25, 2024","The Texas Court of Appeals issued a decision in the case of In re All Repair & Restoration, No. 01-23-00234-CV, on April 25, 2024, and in the case of In re Houston Livestock Show & Rodeo, Inc., NO. 01-18-00825-CV, on June 06, 2019. These cases addressed the procedural requirements for consolidation motions in Texas courts, emphasizing that such motions must be heard in the court where the first case was filed.","""In re All Repair & Restoration, No. 01-23-00234-CV (Tex. App. Apr. 25, 2024); In re Houston Livestock Show & Rodeo, Inc., NO. 01-18-00825-CV (Tex. App. Jun 06, 2019).""","(vLex-Vincent-Is-it-appropriate-for-a.pdf, p. 1)"
"Dec. 20, 2024",The Texas Court of Appeals clarified that a single act or omission is generally insufficient for termination of parental rights unless it is part of a broader pattern of conduct that endangers the child’s physical or emotional well-being in the case of In re C.N.,"""In re C.N., 12-24-00275-CV (Tex. App. Dec. 20, 2024)""","(vLex-Vincent-In-Texas,-would-lying-on.pdf, p. 1)"
"Jan. 31, 2025",The Texas Court of Appeals referenced the importance of considering acts or omissions that may indicate an improper parent-child relationship in the case of Chavarria v. Rodriquez.,"""Chavarria v. Rodriquez (Tex. App. Jan. 31, 2025)""","(id., p. 1)"
"Apr 30, 2025","The Texas Court of Appeals discussed the criteria for terminating parental rights and determining the best interest of a child, emphasizing the need for clear and convincing evidence and considering the totality of circumstances in the case of In re E.M.V.","""In re E.M.V., 04-24-00860-CV (Tex. App. Apr 30, 2025)""","(id., p. 4)"
"May 09, 2025","The memo was compiled by Vincent AI based on vLex materials available as of May 09, 2025.","""This memo was compiled by Vincent AI based on vLex materials available as of May 09, 2025.""","(id., p. 6)"
