citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
533 U.S. 158,4,0,4,8,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-How-does-the-10th-Circuit-distinguish-between-the-person-and-the-enterprise-under-RICO--1.pdf | King, 533 U.S. 158, 163 (2001), which held that ""the corporate owner/"
557 S.W.3d 569,4,4,0,8,recusal;appeal;hearing;federal_court;mandamus,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | Evid. 401; See Morale v. State, 557 S.W.3d 569, 573 (Tex. 2018)."
561 S.W.2d 798,4,0,4,8,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | Corporation v. Snell, 561 S.W.2d 798 (1977). In that case, the court heard a"
625 S.W.3d 583,4,0,4,8,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | Pidgeon v. Turner, 625 S.W.3d 583 (Tex. App. 2021) further reinforces this point by explaining that ""When there is an issue as to the trial court's subject-matter"
682 S.W.2d 525,4,0,4,8,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | Kennedy v. Hyde, 682 S.W.2d 525 (Tex. 1984)"
772 S.W.2d 271,4,0,4,8,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | State v. Benavides, 772 S.W.2d 271 (Tex. App. 1989) explicitly rejected the argument ""that there is no procedure called a plea to the jurisdiction,"" noting that"
793 S.W.2d 104,4,0,4,8,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | 793 S.W.2d 104, 107 (Tex.App.--Dallas 1990, orig. proceeding). The objection"
8 S.W.3d 639,4,0,4,8,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | disapproved on other grounds by Pena v. Pena, 8 S.W.3d 639 (Tex. 1999))."
84 S.W.3d 326,4,0,4,8,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | Guadalupe-Blanco River Author. v. Pitonyak, 84 S.W.3d 326 (Tex. App. 2002) further clarifies that ""A plea to the jurisdiction is the vehicle by which a party"
888 S.W.2d 471,4,0,4,8,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | Board of Disciplinary Appeals v. McFall, 888 S.W.2d 471, 472 (Tex. 1994)."
925 S.W.2d 656,4,0,4,8,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | agreement 'only as a written contract.' Mantas v. Fifth Court of Appeals, 925 S.W.2d 656, 658 (Tex.1996); see Tex. Civ. Prac. & Rem.Code  154.071(a) (Vernon"
933 S.W.2d 341,4,0,4,8,ex_parte;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (2)-1.pdf | without affording this right are subject to being set aside (Peacock v. Humble, 933 S.W.2d 341, 1996)."
95 U.S. 714,4,0,4,8,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | notes, citing Pennoyer v. Neff, 95 U.S. 714, 732 (1877): ""if the court has no jurisdiction over the person of the defendant... and, consequently no authority to pass"
986 S.W.2d 629,4,0,4,8,ex_parte;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (2)-1.pdf | section 201.015(f) is to require the prompt resolution of appeals from an associate judge's ruling. Harrell v. Harrell, 986 S.W.2d 629, 631 (Tex. App.-El Paso"
1 F.3d 304,4,0,4,7,jurisdiction;federal_court;civil_rights_1983;appeal;fraud_perjury,RESEARCH\vLex-Vincent----The-judge-and-court-coordinator-allegedly-altered-and-selectively-transmitted-recusal-motions-and-1.pdf | subsequent rehearing at 1 F.3d 304 (5th Cir. 1993)) articulated four factors
154 S.W.3d 114,4,3,1,7,recusal;fraud_perjury;appeal;discovery;law_enforcement,CASE DOCS\05.19.2025_CASE MEMORANDUM-1.pdf | 154 S.W.3d 114 (Tex. 2004) ..................................................................... 22
169 S.W.3d 685,4,0,4,7,fraud_perjury;appeal;law_enforcement;notice;hearing,"RESEARCH\vLex-Vincent--The-initial-removal-from-the-home-was-done-without-any-evidentiary-hearing--findings-of-fact--or-op-1.pdf | timely raised in the trial court (In re S.A.P., 169 S.W.3d 685 (Tex. 2005))."
324 S.W.3d 578,4,1,3,7,due_process;recusal;ex_parte;federal_court;associate_judge,CASE DOCS\05.27.25 - MANDAMUS CAYCE_5ACD0433.pdf | 324 S.W.3d 578 (Tex. Crim. App. 2010) .................................................. 15
551 U.S. 308,4,0,4,7,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent-Plaintiff-s-complaint-contains-detailed-factual-allegations-regarding-the-timing--nature--and-purpos-1.pdf | favor. See Tellabs, Inc. v. Makor Issues & Rights, Ltd., 551 U.S. 308, 322,"
651 S.W.3d 563,4,0,4,7,due_process;ex_parte;notice;temporary_orders;lockout_eviction,"RESEARCH\vLex-Vincent-A-litigant-walks-into-a-court-room-on-a-day-it-was-closed-due-to-inclement-weather--because-he-didnt-1.pdf | Von Falkenhorst v. Ford, 651 S.W.3d 563 (Tex. App. 2022)"
803 F.2d 322,4,0,4,7,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-1.pdf | v. Lee, 803 F.2d 322, 324 (7th Cir.1986) (acts to defraud one victim one time"
901 F.3d 80,4,0,4,7,rico;federal_court;appeal;property_financial;law_enforcement,"RESEARCH\vLex-Vincent--The-Plaintiff-described-an--association-in-fact-enterprise--with-defined-roles--ongoing-coordinatio-1.pdf | D'Addario, 901 F.3d 80, 100 (2d Cir. 2018) (quoting18 U.S.C.  1961(4))."
248 S.W.3d 164,4,0,4,6,recusal;appeal;jurisdiction;hearing;property_financial,"RESEARCH\vLex-Vincent-1-322-744263-23-IN-THE-322ND-DISTRICT-COURT-OF-TARRANT-COUNTY--TEXAS-ITMOMO--Morgan-Michelle-Myers-P-1-1.pdf | In re McKee, 248 S.W.3d 164 (Tex. 2007)"
418 F.2d 71,4,0,4,6,law_enforcement;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-Defendant-Myers-traveled-from-Texas-to-Oklahoma-to-meet-with-Branthoover--where-they-prepared-fraudu-1.pdf | defined in section 1952. See United States v. Rizzo, 418 F.2d 71 (7 Cir."
437 F.3d 752,4,0,4,6,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--The-court-s-order-did-not-fully-address-the-ongoing-nature-of-the-enterprise--the-risk-of-further-p-1.pdf | Hively, 437 F.3d 752, 762 (8th Cir. 2006) (holding that despite cessation by"
627 S.W.3d 211,4,0,4,6,appeal;notice;jurisdiction;hearing;custody,"RESEARCH\vLex-Vincent--The-initial-removal-from-the-home-was-done-without-any-evidentiary-hearing--findings-of-fact--or-op-1.pdf | In re Interest of J.J.R.S., 627 S.W.3d 211 (Tex. 2021)"
65 F.3d 1523,4,0,4,6,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | Cir. 2008); Allwaste, Inc. v. Hecht, 65 F.3d 1523 (9th Cir. 1995)). After that,"
664 F.2d 971,4,0,4,6,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent--Plaintiff-alleges-a-coordinated-scheme-involving-multiple-defendants--Myers--Branthoover--Carter--B-1.pdf | U.S. v. Phillips, 664 F.2d 971 (5th Cir. 1981) was superseded by statute"
685 S.W.2d 18,4,0,4,6,due_process;notice;federal_court;appeal;hearing,"RESEARCH\vLex-Vincent--1-NO--25-0367-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS----------MOTION-FOR-REHEARI-1.pdf | Holick v. Smith, 685 S.W.2d 18, 20 (Tex.1985); In re E.L.T., 93 S.W.3d 372,"
81 S.W.3d 381,4,0,4,6,ex_parte;notice;federal_court;appeal;hearing,"RESEARCH\vLex-Vincent-Can-a-judge-be-recused-1.pdf | Brosseau v. Ranzau, 81 S.W.3d 381 (Tex. App. 2002)"
131 S.W.3d 215,4,0,4,5,fraud_perjury;appeal;law_enforcement;notice;hearing,"RESEARCH\vLex-Vincent--The-initial-removal-from-the-home-was-done-without-any-evidentiary-hearing--findings-of-fact--or-op-1.pdf | 119 S.W.3d 707, 710-11 (Tex.2003); In re K.A.S., 131 S.W.3d 215, 230-31"
21 S.W.3d 784,4,0,4,5,due_process;ex_parte;notice;jurisdiction;lockout_eviction,"RESEARCH\vLex-Vincent-Research-case-law-on-void-1.pdf | 21 S.W.3d 784, 794 (Tex. App.-Houston [14th Dist.] 2000, orig. proceeding). For a trial court to have jurisdiction over a party, the party must be properly before"
222 S.W.3d 616,4,0,4,5,law_enforcement;due_process;notice;jurisdiction;appeal,"RESEARCH\vLex-Vincent-The-complainant-was-denied-the-opportunity-to-be-heard-on-an-emergency-matter-affecting-the-safety-a-1.pdf | Whitworth v. Whitworth, 222 S.W.3d 616 (Tex. App. 2007)"
303 F.3d 606,4,0,4,5,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | U.S. v. Edwards, 303 F.3d 606 (5th Cir. 2002)"
319 S.W.3d 205,4,1,3,5,law_enforcement;due_process;notice;fraud_perjury;federal_court,"CASE DOCS\07.28.25 - MOTION FOR REHEARING.pdf | County Attorney, 319 S.W.3d 205, 221 (Tex. App. 2010)."
349 S.W.3d 548,4,0,4,5,due_process;notice;jurisdiction;federal_court;appeal,"RESEARCH\vLex-Vincent-The-complainant-was-denied-the-opportunity-to-be-heard-on-an-emergency-matter-affecting-the-safety-a-1.pdf | In re v., 349 S.W.3d 548 (Tex. App. 2010)"
486 F.3d 541,4,0,4,5,rico;federal_court;appeal;property_financial;law_enforcement,"RESEARCH\vLex-Vincent--The-Plaintiff-described-an--association-in-fact-enterprise--with-defined-roles--ongoing-coordinatio-1.pdf | U.S. 576, 583 (1981))). ... Odom v. Microsoft Corp., 486 F.3d 541, 55153"
492 S.W.3d 287,4,1,3,5,law_enforcement;due_process;ex_parte;notice;lockout_eviction,"CASE DOCS\07.11.25 - 25-0378 Rehearing-1.pdf | 15. As recognized in In re J.B. Hunt Transp., Inc., 492 S.W.3d 287, 299-300"
558 S.W.3d 671,4,0,4,5,due_process;notice;jurisdiction;federal_court;appeal,"RESEARCH\vLex-Vincent-The-complainant-was-denied-the-opportunity-to-be-heard-on-an-emergency-matter-affecting-the-safety-a-1.pdf | In re Interest of D.W.G.K., 558 S.W.3d 671 (Tex. App. 2018)"
692 S.W.2d 470,4,0,4,5,recusal;notice;jurisdiction;federal_court;associate_judge,"RESEARCH\VLEX EVANS-1.pdf | State ex rel. Millsap v. Lozano, 692 S.W.2d 470 (Tex. Crim. App. 1985)"
804 F.2d 970,4,0,4,5,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-How-does-the-10th-Circuit-distinguish-between-the-person-and-the-enterprise-under-RICO--1.pdf | 1396 (9th Cir.1986); Morgan v. Bank of Waukegan, 804 F.2d 970, 977 (7th"
101 S.W.3d 174,4,0,4,4,due_process;custody;federal_court;appeal,"RESEARCH\vLex-Vincent-The-court-issued-orders-without-1.pdf | In re Castillo, 101 S.W.3d 174 (Tex. App. 2003)"
109 S.W.3d 577,4,0,4,4,due_process;ex_parte;jurisdiction;notice;lockout_eviction,"RESEARCH\vLex-Vincent-Does-a-Texas-court-have-1.pdf | In re K.S.L.-C., 109 S.W.3d 577 (Tex. App. 2003)"
111 S.W.3d 617,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | City of Roanoke v. Town of Westlake, 111 S.W.3d 617 (Tex. App. 2003)"
113 S.W.3d 355,4,0,4,4,due_process;notice;appeal;property_financial;custody,"RESEARCH\vLex-Vincent-If-a-judge-in-Texas-deprived-a-litigant-of-their-home-and-property-without-a-hearing--issued-an-orde-1.pdf | 161.001(b)(1), (2); In re A.V., 113 S.W.3d 355, 362 (Tex. 2003). The"
121 S.W.3d 117,4,0,4,4,law_enforcement;appeal;property_financial;custody;protective_order,"RESEARCH\vLex-Vincent-What-factors-can-a-trial-1.pdf | how a parent has treated another child or a spouse."" In re M.D.M., 579 S.W.3d at 764; see In re J.T.G., 121 S.W.3d 117, 125 (Tex. App.-Fort Worth 2003, no"
123 S.W.2d 871,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | Practice in District and County Courts  17.22 (1971). Matthews v. Looney, 132 Tex. 313, 123 S.W.2d 871 (1939), demonstrates that an agreement not in"
130 S.W.3d 100,4,0,4,4,law_enforcement;due_process;ex_parte;jurisdiction;notice,"RESEARCH\vLex-Vincent-You-filed-a-separate-SAPCR (1)-1.pdf | Emergency situations present an exception. See Ex parte Flores, 130 S.W.3d 100, 106-07 (Tex.App.-El Paso 2003, pet. ref'd). The temporary and emergency"
142 F.3d 1041,4,0,4,4,rico;federal_court;appeal;property_financial;discovery,"RESEARCH\vLex-Vincent--The-Plaintiff-alleged-that-after-the-initial-acts-in-December-2023-January-2024--the-Defendants-con-1.pdf | Corley v. Rosewood Care Center, Inc., 142 F.3d 1041, 1998 WL 206367 (7th"
195 S.W.3d 689,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | determine the subject matter of the cause of action."" This case was later disapproved by City of Grapevine v. Sipes, 195 S.W.3d 689 (Tex. 2006), but not on the"
206 S.W.3d 732,4,0,4,4,fraud_perjury;appeal;law_enforcement;notice;jurisdiction,"RESEARCH\vLex-Vincent-1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--RELATOR--On-Petition-for-W (2)-1.pdf | also Rymer v. Lewis, 206 S.W.3d 732, 736 (Tex. App.Dallas 2006, no pet.)"
209 S.W.3d 112,4,0,4,4,property_financial;custody;protective_order;appeal;law_enforcement,"RESEARCH\vLex-Vincent-In-Texas,-would-lying-on-1.pdf | presumption that the best interest of a child is served by keeping the child with a parent.' In re R.R., 209 S.W.3d 112, 116 (Tex. 2006) (per curiam). However, a"
243 S.W.3d 211,4,0,4,4,property_financial;custody;protective_order;appeal;law_enforcement,"RESEARCH\vLex-Vincent-In-Texas,-would-lying-on-1.pdf | In re C.A.M.M., 243 S.W.3d 211 (Tex. App. 2007)"
251 F.3d 881,4,0,4,4,law_enforcement;jurisdiction;notice;rico;lockout_eviction,"RESEARCH\vLex-Vincent-Case-5-24-cv-01311-R-Document-18-Filed-06-30-25-Page-1-of-5-FILED-JUN-3-D-2025-IN-THE-UNITED-STATES--389ccc19-1.pdf | 251 F.3d 881, 887 (10th Cir.2001). The first and second elements of federal"
300 S.W.3d 348,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | Texas Integrated Conveyor Systems, Inc. v. Innovative Conveyor, 300 S.W.3d 348 (Tex. App. 2009)"
318 S.W.2d 715,4,0,4,4,law_enforcement;fraud_perjury;property_financial;appeal,"RESEARCH\vLex-Vincent-The-wife-converted-$1,576-out-1.pdf | husband's dissipation of approximately $53,000 of community assets when dividing the estate); Pride v. Pride, 318 S.W.2d 715, 718 (Tex.Civ.App.--Dallas 1958,"
321 S.W.3d 755,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | Pena v. Smith, 321 S.W.3d 755 (Tex. App. 2010)"
341 S.W.3d 323,4,0,4,4,law_enforcement;fraud_perjury;discovery;appeal;protective_order,"RESEARCH\vLex-Vincent-The-wife-filed-an-uncontested-0af1cca4-1.pdf | Partners v. the Prudential Ins. Co. of Am., 341 S.W.3d 323, 54 Tex. Sup. Ct. J. 822 (Tex. 2011)"
365 S.W.3d 822,4,0,4,4,law_enforcement;fraud_perjury;discovery;appeal;protective_order,"RESEARCH\vLex-Vincent-The-wife-filed-an-uncontested-0af1cca4-1.pdf | intended to be acted upon; (3) was relied upon; and (4) caused injury. Id.; see also Montenegro v. Avila, 365 S.W.3d 822, 82627 (Tex.App.-El Paso 2012) (not"
369 S.W.3d 137,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | defendant presents undisputed evidence that negates the existence of the courts jurisdiction. Heckman v. Williamson Cty., 369 S.W.3d 137, 150 (Tex. 2012)."
371 S.W.3d 596,4,0,4,4,law_enforcement;fraud_perjury;discovery;appeal;protective_order,"RESEARCH\vLex-Vincent-The-wife-filed-an-uncontested-0af1cca4-1.pdf | Desta v. Anyaoha, 371 S.W.3d 596 (Tex. App. 2012)"
392 S.W.3d 88,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | If a governmental unit has immunity from suit, a trial court lacks subject matter jurisdiction. Rusk State Hosp. v. Black, 392 S.W.3d 88, 95 (Tex.2012). A challenge"
395 U.S. 337,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | involved. The case that is most relevant here is Sniadach v. Family Finance Corp., 395 U.S. 337 . ... The Court stated: [A] prejudgment garnishment of the"
407 S.W.3d 420,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | Mayor Mike Rawlings v. Gonzalez, 407 S.W.3d 420 (Tex. App. 2013); however, the core principles regarding the nature of pleas to the jurisdiction remain valid in"
408 S.W.3d 888,4,0,4,4,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-1-322-744263-23-IN-THE-322ND-DISTRICT-COURT-OF-TARRANT-COUNTY--TEXAS-ITMOMO--Morgan-Michelle-Myers-P-1-1.pdf | In re Ligon, 408 S.W.3d 888 (Tex. App. 2013)"
417 S.W.3d 569,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | In re Expunction of R.A., 417 S.W.3d 569 (Tex. App. 2013)"
428 S.W.3d 212,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | However, it should be noted that this case was stated as overruled by In re Walker, 428 S.W.3d 212 (Tex. App. 2014), though the basic principle regarding"
433 U.S. 186,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | parent. In re S.A.V., 837 S.W.2d 80, 85 (Tex.1992); see also Shaffer v. Heitner, 433 U.S. 186, 208, n. 30, 97 S.Ct. 2569, 2582, n. 30, 53 L.Ed.2d 683 (1977)."
434 U.S. 246,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | 2054; Santosky, 455 U.S. at 753, 102 S.Ct. 1388; Quilloin v. Walcott, 434 U.S. 246, 255, 98 S.Ct. 549, 54 L.Ed.2d 511 (1978). The Texas Supreme Court has"
442 S.W.3d 256,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | mandamus relief is appropriate. In re Vaishangi, Inc., 442 S.W.3d 256, 261"
444 S.W.3d 24,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | City of Hous. v. Downstream Envtl., L. L.C., 444 S.W.3d 24 (Tex. App. 2014)"
445 S.W.2d 950,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | (Tex.Sup.1974); Pope v. Ferguson, 445 S.W.2d 950 (Tex.Sup.1969). We view"
447 S.W.3d 566,4,0,4,4,law_enforcement;fraud_perjury;discovery;appeal;protective_order,"RESEARCH\vLex-Vincent-The-wife-filed-an-uncontested-0af1cca4-1.pdf | Guevara v. Lackner, 447 S.W.3d 566 (Tex. App. 2014)"
448 S.W.3d 75,4,0,4,4,law_enforcement;fraud_perjury;discovery;appeal;protective_order,"RESEARCH\vLex-Vincent-The-wife-filed-an-uncontested-0af1cca4-1.pdf | Frankoff v. Norman, 448 S.W.3d 75 (Tex. App. 2014)"
452 U.S. 18,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | (Tex. 2003) (quoting Lassiter v. Department of Social Servs., 452 U.S. 18, 24-25 (1981)). We consider the private interest affected by the governmental action,"
457 S.W.3d 178,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | W. Star Transp., Inc. v. Robison, 457 S.W.3d 178 (Tex. App. 2015)"
463 S.W.3d 633,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | Abbott v. G.G.E, 463 S.W.3d 633 (Tex. App. 2015)"
465 F.3d 719,4,0,4,4,rico;fraud_perjury;federal_court;property_financial;jurisdiction,"RESEARCH\vLex-Vincent-The-individuals-submitted-false-documents-to-Texas-courts--which-were-prepared-in-Oklahoma--and-requ-1.pdf | Supply, 465 F.3d 719, 723 (6th Cir. 2006) (quoting Sedima, S.P.R.L. v. Imrex"
465 U.S. 1025,4,0,4,4,jurisdiction;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-Draft-a-civil-RICO-complaint-based-on-the-provided-facts--establishing-the-existence-of-an-enterpris-1.pdf | Newman, 465 U.S. 1025, 104 S.Ct. 1280, 79 L.Ed.2d 684 (1984), as follows:"
474 U.S. 193,4,0,4,4,law_enforcement;due_process;jurisdiction;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-In-a-divorce-proceeding-that-has-not-been-finalized--if-a-third-party-fraudulently-induces-the-court-1.pdf | F.3d at 1244 (quoting Cleavinger v. Saxner, 474 U.S. 193, 199-200, 106 S.Ct."
498 S.W.3d 100,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | so, what process is due. In re D.W., 498 S.W.3d 100, 112 (Tex. App.Houston [1st Dist.] 2016, no pet.). (citing Logan v. Zimmerman Brush Co., 455 U.S. 422,"
51 S.W.3d 583,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | (Tex.2000), appellate review is of the pleadings and evidence relevant to the jurisdictional issue. See Texas Dep't. of Criminal Justice v. Miller, 51 S.W.3d 583,"
512 S.W.2d 317,4,0,4,4,recusal;appeal;law_enforcement;notice;jurisdiction,"RESEARCH\vLex-Vincent-Answer-Short-response-The-unprecedented-treatment-described-in-the-provided-record-including-apparen-1.pdf | Brown, In re, 512 S.W.2d 317 (Tex. 1974)"
516 S.W.2d 119,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | resolved by appeal. State ex rel. Pettit v. Thurmond, 516 S.W.2d 119"
53 S.W.3d 848,4,0,4,4,ex_parte;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (2)-1.pdf | request other relief from a court of appeals or the supreme court.' Tex. Fam. Code Ann.  201.016(a) (West 2014); see also In re S.G.S., 53 S.W.3d 848, 852"
535 U.S. 83,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | (quoting Steel Co. v. Citizens for a Better Environment, 535 U.S. 83, 89 (1998)); see also Pennoyer v. Neff, 95 U.S. 714, 732 (1877) (""But if the court has no"
541 F.3d 425,4,0,4,4,rico;federal_court;appeal;property_financial;lockout_eviction,"RESEARCH\vLex-Vincent-Charles-was-evicted-from-his-home--deprived-of-marital-funds--and-removed-from-his-business-as-a-dir-1.pdf | City of New York v. Smokes-Spirits.Com, Inc., 541 F.3d 425 (2nd Cir. 2008)"
543 S.W.2d 5,4,0,4,4,ex_parte;jurisdiction;fraud_perjury;federal_court;discovery,"RESEARCH\vLex-Vincent-The-wife-made-false-statements-1.pdf | Facts falsely sworn to in documents filed with the court constitute perjury. [Dixon v. Mayfield, 543 S.W.2d 5 (Ft. Worth 1976, no writ).] It is very effective to point"
545 S.W.3d 8,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | Garcia v. Harding, 545 S.W.3d 8 (Tex. App. 2017)"
552 S.W.3d 893,4,0,4,4,ex_parte;jurisdiction;fraud_perjury;federal_court;discovery,"RESEARCH\vLex-Vincent-The-wife-made-false-statements-1.pdf | Crim. App. 1916). However, it is important to note that this case was stated as overruled by In re Hesse, 552 S.W.3d 893 (Tex. App. 2018), which may impact"
557 S.W.3d 736,4,0,4,4,law_enforcement;due_process;ex_parte;jurisdiction;notice,"RESEARCH\vLex-Vincent-You-filed-a-separate-SAPCR (1)-1.pdf | In re Interest of L.S., 557 S.W.3d 736 (Tex. App. 2018)"
560 S.W.3d 413,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | In re P.K., 560 S.W.3d 413 (Tex. App. 2018)"
566 S.W.2d 117,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | Johnson Radiological Group v. Medina, 566 S.W.2d 117 (Tex. Ct. App. 1978)"
