citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
Guevara v. Lackner | 447 S.W.3d 566,4,0,4,4,law_enforcement;fraud_perjury;discovery;appeal;protective_order,"RESEARCH\vLex-Vincent-The-wife-filed-an-uncontested-0af1cca4-1.pdf | Guevara v. Lackner, 447 S.W.3d 566 (Tex. App. 2014)"
Heckman v. Williamson | 369 S.W.3d 137,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | defendant presents undisputed evidence that negates the existence of the courts jurisdiction. Heckman v. Williamson Cty., 369 S.W.3d 137, 150 (Tex. 2012)."
Hillman v. Nueces | 434 S.W.3d 815,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | See Hillman v. Nueces County, 579 S.W.3d 354, 359 n.5 (Tex. 2019) ; Curry v. Harris County Appraisal Dist., 434 S.W.3d 815, 820 (Tex. App.Houston [14th"
Hillman v. Nueces | 579 S.W.3d 354,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | See Hillman v. Nueces County, 579 S.W.3d 354, 359 n.5 (Tex. 2019) ; Curry v. Harris County Appraisal Dist., 434 S.W.3d 815, 820 (Tex. App.Houston [14th"
Hosp. v. Black | 392 S.W.3d 88,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | If a governmental unit has immunity from suit, a trial court lacks subject matter jurisdiction. Rusk State Hosp. v. Black, 392 S.W.3d 88, 95 (Tex.2012). A challenge"
Hous. v. Downstream | 444 S.W.3d 24,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | City of Hous. v. Downstream Envtl., L. L.C., 444 S.W.3d 24 (Tex. App. 2014)"
Hous. v. Ranjel | 407 S.W.3d 880,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | De Novo Review: City of Hous. v. Ranjel, 407 S.W.3d 880 (Tex. App. 2013) explains that courts ""review a trial court's ruling on a plea to the jurisdiction de"
In re Branscomb | 969 S.W.2d 427,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | (In re Union Pac. Res. Co., 969 S.W.2d 427 (Tex. 1998); In re Branscomb P.C.,"
In re C.A.M.M | 243 S.W.3d 211,4,0,4,4,property_financial;custody;protective_order;appeal;law_enforcement,"RESEARCH\vLex-Vincent-In-Texas,-would-lying-on-1.pdf | In re C.A.M.M., 243 S.W.3d 211 (Tex. App. 2007)"
In re Castillo | 101 S.W.3d 174,4,0,4,4,due_process;custody;federal_court;appeal,"RESEARCH\vLex-Vincent-The-court-issued-orders-without-1.pdf | In re Castillo, 101 S.W.3d 174 (Tex. App. 2003)"
In re Christus | 222 S.W.3d 434,4,1,3,4,law_enforcement;due_process;ex_parte;notice;lockout_eviction,"CASE DOCS\07.11.25 - 25-0378 Rehearing-1.pdf | 14. As established in In re Christus Spohn Hosp. Kleberg, 222 S.W.3d 434,"
In re D.W | 455 U.S. 422,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | so, what process is due. In re D.W., 498 S.W.3d 100, 112 (Tex. App.Houston [1st Dist.] 2016, no pet.). (citing Logan v. Zimmerman Brush Co., 455 U.S. 422,"
In re D.W | 498 S.W.3d 100,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | so, what process is due. In re D.W., 498 S.W.3d 100, 112 (Tex. App.Houston [1st Dist.] 2016, no pet.). (citing Logan v. Zimmerman Brush Co., 455 U.S. 422,"
In re Dall | 846 F.3d 112,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | was later declined to extend by Tex. Capital Bank N.A. v. Dall. Roadster, Ltd. (In re Dall. Roadster, Ltd.), 846 F.3d 112 (5th Cir. 2017), but this does not affect"
In re E.B | 654 S.W.2d 442,4,0,4,4,ex_parte;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (2)-1.pdf | (In re E.B., No. 12-17-00214-CV, 2017; Padilla v. LaFrance, 907 S.W.2d 454, 1995; Quintero v. Jim Walter Homes, Inc., 654 S.W.2d 442, 1983). This principle"
In re E.B | 907 S.W.2d 454,4,0,4,4,ex_parte;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (2)-1.pdf | (In re E.B., No. 12-17-00214-CV, 2017; Padilla v. LaFrance, 907 S.W.2d 454, 1995; Quintero v. Jim Walter Homes, Inc., 654 S.W.2d 442, 1983). This principle"
In re Estes | 201 S.W.3d 338,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | Both Stallworth v. Stallworth, 201 S.W.3d 338 (Tex. App. 2006) and In re Estes, 153 S.W.3d 591 (Tex. App. 2004) (noting again its overruled status) explain that"
In re Expunction | 417 S.W.3d 569,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | In re Expunction of R.A., 417 S.W.3d 569 (Tex. App. 2013)"
In re ExxonMobil | 700 S.W.2d 916,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | Appeals, 700 S.W.2d 916, 917 (Tex.1985); In re ExxonMobil Corp., 97 S.W.3d"
In re Herring | 257 S.W.3d 794,4,0,4,4,fraud_perjury;appeal;law_enforcement;notice;jurisdiction,"RESEARCH\vLex-Vincent-1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--RELATOR--On-Petition-for-W (2)-1.pdf | Layton, 257 S.W.3d 794, 795 (Tex. App. 2008); In re Herring, 221 S.W.3d 729"
In re Hesse | 182 S.W. 313,4,0,4,4,ex_parte;jurisdiction;fraud_perjury;federal_court;discovery,"RESEARCH\vLex-Vincent-The-wife-made-false-statements-1.pdf | Duncan, 182 S.W. 313 (Tex. Crim. App. 1916), supports the initiation of contempt proceedings. However, the overruling of this case by In re Hesse, 552"
In re Hesse | 552 S.W.3d 893,4,0,4,4,ex_parte;jurisdiction;fraud_perjury;federal_court;discovery,"RESEARCH\vLex-Vincent-The-wife-made-false-statements-1.pdf | Crim. App. 1916). However, it is important to note that this case was stated as overruled by In re Hesse, 552 S.W.3d 893 (Tex. App. 2018), which may impact"
In re Interest | 496 S.W.3d 270,4,0,4,4,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-Can-a-judge-be-recused-1.pdf | In re Interest of E.R.C., 496 S.W.3d 270 (Tex. App. 2016)"
In re Interest | 557 S.W.3d 736,4,0,4,4,law_enforcement;due_process;ex_parte;jurisdiction;notice,"RESEARCH\vLex-Vincent-You-filed-a-separate-SAPCR (1)-1.pdf | In re Interest of L.S., 557 S.W.3d 736 (Tex. App. 2018)"
In re J.C.B | 190 S.W.3d 884,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | Child Custody: In cases involving children, In re J.C.B., 209 S.W.3d 821 (Tex. App. 2006) and Ruffier v. Ruffier, 190 S.W.3d 884 (Tex. App. 2006) explain the"
In re J.T.G | 121 S.W.3d 117,4,0,4,4,law_enforcement;appeal;property_financial;custody;protective_order,"RESEARCH\vLex-Vincent-What-factors-can-a-trial-1.pdf | how a parent has treated another child or a spouse."" In re M.D.M., 579 S.W.3d at 764; see In re J.T.G., 121 S.W.3d 117, 125 (Tex. App.-Fort Worth 2003, no"
In re K.A.S | 119 S.W.3d 707,4,0,4,4,fraud_perjury;appeal;law_enforcement;notice;hearing,"RESEARCH\vLex-Vincent--The-initial-removal-from-the-home-was-done-without-any-evidentiary-hearing--findings-of-fact--or-op-1.pdf | 119 S.W.3d 707, 710-11 (Tex.2003); In re K.A.S., 131 S.W.3d 215, 230-31"
In re K.S.L.-C | 109 S.W.3d 577,4,0,4,4,due_process;ex_parte;jurisdiction;notice;lockout_eviction,"RESEARCH\vLex-Vincent-Does-a-Texas-court-have-1.pdf | In re K.S.L.-C., 109 S.W.3d 577 (Tex. App. 2003)"
In re Ligon | 408 S.W.3d 888,4,0,4,4,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-1-322-744263-23-IN-THE-322ND-DISTRICT-COURT-OF-TARRANT-COUNTY--TEXAS-ITMOMO--Morgan-Michelle-Myers-P-1-1.pdf | In re Ligon, 408 S.W.3d 888 (Tex. App. 2013)"
In re M.F | 29 S.W.3d 632,4,0,4,4,ex_parte;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (2)-1.pdf | and is grounds for reversal (In re M.F., No. 07-17-00407-CV, 2018; Phagan v. Aleman, 29 S.W.3d 632, 2000)."
In re Marriage | 159 S.W.3d 194,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | In re Marriage of Runberg, 159 S.W.3d 194 (Tex. App. 2005)"
In re Milton | 581 S.W.3d 844,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | 581 S.W.3d 844, 848 (Tex. App.-Dallas 2019, no pet.) (citing In re Milton, 420 S.W.3d 245, 247 (Tex. App.-Houston [1st Dist.] 2013, orig. proceeding))."
In re Norman | 546 S.W.3d 145,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | Thuesen, 546 S.W.3d 145 (Tex. Crim. App. 2017); In re Norman, 191 S.W.3d"
In re P.K | 560 S.W.3d 413,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | In re P.K., 560 S.W.3d 413 (Tex. App. 2018)"
In re Pensom | 815 S.W.2d 548,4,0,4,4,fraud_perjury;appeal;law_enforcement;notice;jurisdiction,"RESEARCH\vLex-Vincent-1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--RELATOR--On-Petition-for-W (2)-1.pdf | Daggett, 815 S.W.2d 548, 549 (Tex.1991); In re Pensom, 126 S.W.3d 251, 257"
In re S.A.V | 433 U.S. 186,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | parent. In re S.A.V., 837 S.W.2d 80, 85 (Tex.1992); see also Shaffer v. Heitner, 433 U.S. 186, 208, n. 30, 97 S.Ct. 2569, 2582, n. 30, 53 L.Ed.2d 683 (1977)."
In re S.A.V | 837 S.W.2d 80,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | parent. In re S.A.V., 837 S.W.2d 80, 85 (Tex.1992); see also Shaffer v. Heitner, 433 U.S. 186, 208, n. 30, 97 S.Ct. 2569, 2582, n. 30, 53 L.Ed.2d 683 (1977)."
In re S.G.S | 53 S.W.3d 848,4,0,4,4,ex_parte;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (2)-1.pdf | request other relief from a court of appeals or the supreme court.' Tex. Fam. Code Ann.  201.016(a) (West 2014); see also In re S.G.S., 53 S.W.3d 848, 852"
In re Schreck | 642 S.W.3d 925,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | In re Schreck, 642 S.W.3d 925 (Tex. App. 2022)"
In re Vaishangi | 442 S.W.3d 256,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | mandamus relief is appropriate. In re Vaishangi, Inc., 442 S.W.3d 256, 261"
In re Walker | 428 S.W.3d 212,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | However, it should be noted that this case was stated as overruled by In re Walker, 428 S.W.3d 212 (Tex. App. 2014), though the basic principle regarding"
Inc. v. Innovative | 300 S.W.3d 348,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | Texas Integrated Conveyor Systems, Inc. v. Innovative Conveyor, 300 S.W.3d 348 (Tex. App. 2009)"
Inc. v. Pennzoil | 729 S.W.2d 768,4,0,4,4,law_enforcement;recusal;notice;jurisdiction;lockout_eviction,"RESEARCH\vLex-Vincent-322-744263-23-IN-THE-322ND-DISTRICT-COURT--OF-TARRANT-COUNTY--TEXAS--Morgan-Michelle-Myers---------- (1)-1.pdf | Texaco, Inc. v. Pennzoil, Co., 729 S.W.2d 768 (Tex. App. 1987)"
Inc. v. Robison | 457 S.W.3d 178,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | W. Star Transp., Inc. v. Robison, 457 S.W.3d 178 (Tex. App. 2015)"
Justice v. Miller | 51 S.W.3d 583,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | (Tex.2000), appellate review is of the pleadings and evidence relevant to the jurisdictional issue. See Texas Dep't. of Criminal Justice v. Miller, 51 S.W.3d 583,"
Kennedy v. Hyde | 868 S.W.2d 902,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | Kennedy v. Hyde, 682 S.W.2d 525, 528 (Tex. 1984); Stein v. Stein, 868 S.W.2d 902, 903 (Tex.App.Houston [14th Dist.] 1994, no writ). Without consent, the"
Lassiter v. Department | 452 U.S. 18,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | (Tex. 2003) (quoting Lassiter v. Department of Social Servs., 452 U.S. 18, 24-25 (1981)). We consider the private interest affected by the governmental action,"
Lemley v. Miller | 932 S.W.2d 284,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | Lemley v. Miller, 932 S.W.2d 284 (Tex. App. 1996)"
Logan v. Zimmerman | 455 U.S. 422,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | so, what process is due. In re D.W., 498 S.W.3d 100, 112 (Tex. App.Houston [1st Dist.] 2016, no pet.). (citing Logan v. Zimmerman Brush Co., 455 U.S. 422,"
Logan v. Zimmerman | 498 S.W.3d 100,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | so, what process is due. In re D.W., 498 S.W.3d 100, 112 (Tex. App.Houston [1st Dist.] 2016, no pet.). (citing Logan v. Zimmerman Brush Co., 455 U.S. 422,"
Magill v. Sheffield | 612 S.W.2d 677,4,0,4,4,due_process;ex_parte;jurisdiction;notice;lockout_eviction,"RESEARCH\vLex-Vincent-Does-a-Texas-court-have-1.pdf | Magill v. Sheffield, 612 S.W.2d 677 (Tex. Ct. App. 1981)"
Martinez v. Texas | 116 S.W.3d 266,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | Martinez v. Texas Department of Protective & Regulatory Services, 116 S.W.3d 266 (Tex. 2003)"
Matthews v. Looney | 123 S.W.2d 871,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | Practice in District and County Courts  17.22 (1971). Matthews v. Looney, 132 Tex. 313, 123 S.W.2d 871 (1939), demonstrates that an agreement not in"
McDuffie v. State | 854 S.W.2d 195,4,0,4,4,recusal;ex_parte;jurisdiction;associate_judge;appeal,"RESEARCH\vLex-Vincent-Can-a-court-coordinator-in-1.pdf | invoke Rule 18a. See Arnold (no error in not referring motion to recuse not timely filed); McDuffie v. State, 854 S.W.2d 195 (Tex.App.Beaumont 1993, pet."
Money v. Jones | 766 S.W.2d 307,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | (Vernon 1988); Money v. Jones, 766 S.W.2d 307, 308 (Tex.App.--Dallas 1989,"
Montenegro v. Avila | 365 S.W.3d 822,4,0,4,4,law_enforcement;fraud_perjury;discovery;appeal;protective_order,"RESEARCH\vLex-Vincent-The-wife-filed-an-uncontested-0af1cca4-1.pdf | intended to be acted upon; (3) was relied upon; and (4) caused injury. Id.; see also Montenegro v. Avila, 365 S.W.3d 822, 82627 (Tex.App.-El Paso 2012) (not"
Moseley v. Emco | 890 S.W.2d 529,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | Moseley v. Emco Mach. Works Co., 890 S.W.2d 529 (Tex. App. 1994)"
N.A. v. Dall | 846 F.3d 112,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | was later declined to extend by Tex. Capital Bank N.A. v. Dall. Roadster, Ltd. (In re Dall. Roadster, Ltd.), 846 F.3d 112 (5th Cir. 2017), but this does not affect"
Odom v. Microsoft | 486 F.3d 541,4,0,4,4,rico;federal_court;appeal;property_financial;law_enforcement,"RESEARCH\vLex-Vincent--The-Plaintiff-described-an--association-in-fact-enterprise--with-defined-roles--ongoing-coordinatio-1.pdf | U.S. 576, 583 (1981))). ... Odom v. Microsoft Corp., 486 F.3d 541, 55153"
Padilla v. LaFrance | 875 S.W.2d 730,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | Padilla v. LaFrance, 875 S.W.2d 730 (Tex. App. 1994)"
Page v. Sherrill | 417 S.W.2d 55,4,0,4,4,law_enforcement;due_process;ex_parte;jurisdiction;notice,"RESEARCH\vLex-Vincent-You-filed-a-separate-SAPCR (1)-1.pdf | The Texas Supreme Court's decisions in Page v. Sherrill, 415 S.W.2d 642 (Tex. 1967) and Dannelley v. Dannelley, 417 S.W.2d 55 (Tex. 1967) establish that"
Pena v. Smith | 321 S.W.3d 755,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | Pena v. Smith, 321 S.W.3d 755 (Tex. App. 2010)"
Pennoyer v. Neff | 535 U.S. 83,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | (quoting Steel Co. v. Citizens for a Better Environment, 535 U.S. 83, 89 (1998)); see also Pennoyer v. Neff, 95 U.S. 714, 732 (1877) (""But if the court has no"
Perry v. Ponder | 604 S.W.2d 306,4,0,4,4,due_process;notice;jurisdiction;appeal;property_financial,"RESEARCH\vLex-Vincent-Research-case-law-on-void-1.pdf | the court in the pending controversy as authorized by procedural statutes and rules. Perry v. Ponder, 604 S.W.2d 306, 322 (Tex.Civ.App.-Dallas 1980, no writ)."
Petitt v. Laware | 715 S.W.2d 688,4,0,4,4,law_enforcement;due_process;recusal;notice;jurisdiction,"RESEARCH\vLex-Vincent-1-No-25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--RELATOR--On-Petition-for-Wr-1.pdf | 652; Petitt v. Laware, 715 S.W.2d 688, 692 (Tex.App.--Houston [1st Dist.]"
Pettit v. Thurmond | 516 S.W.2d 119,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | resolved by appeal. State ex rel. Pettit v. Thurmond, 516 S.W.2d 119"
Phagan v Aleman | 29 S.W.3d 632,4,0,4,4,ex_parte;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (2)-1.pdf | Phagan v Aleman, 29 S.W.3d 632 (Tex. App. 2000)"
Phagan v. Aleman | 29 S.W.3d 632,4,0,4,4,ex_parte;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (2)-1.pdf | and is grounds for reversal (In re M.F., No. 07-17-00407-CV, 2018; Phagan v. Aleman, 29 S.W.3d 632, 2000)."
Pidgeon v. Turner | 659 S.W.3d 416,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | While Pidgeon was later superseded by Pidgeon v. Turner, 659 S.W.3d 416(Mem) (Tex. 2022), the procedural principle regarding jurisdictional determinations"
Pope v. Ferguson | 445 S.W.2d 950,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | (Tex.Sup.1974); Pope v. Ferguson, 445 S.W.2d 950 (Tex.Sup.1969). We view"
Pride v. Pride | 318 S.W.2d 715,4,0,4,4,law_enforcement;fraud_perjury;property_financial;appeal,"RESEARCH\vLex-Vincent-The-wife-converted-$1,576-out-1.pdf | husband's dissipation of approximately $53,000 of community assets when dividing the estate); Pride v. Pride, 318 S.W.2d 715, 718 (Tex.Civ.App.--Dallas 1958,"
Quilloin v. Walcott | 434 U.S. 246,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | 2054; Santosky, 455 U.S. at 753, 102 S.Ct. 1388; Quilloin v. Walcott, 434 U.S. 246, 255, 98 S.Ct. 549, 54 L.Ed.2d 511 (1978). The Texas Supreme Court has"
Quintero v. Jim | 640 S.W.2d 873,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | Quintero v. Jim Walter Homes, Inc., 654 S.W.2d 442 (Tex.1983); Samples Exterminators v. Samples, 640 S.W.2d 873 (Tex.1982); 4 R. McDonald, Texas Civil"
Rawlings v. Gonzalez | 407 S.W.3d 420,4,0,4,4,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | Mayor Mike Rawlings v. Gonzalez, 407 S.W.3d 420 (Tex. App. 2013); however, the core principles regarding the nature of pleas to the jurisdiction remain valid in"
Reynoso v. Dibs | 541 S.W.3d 331,4,0,4,4,due_process;ex_parte;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | under the Texas Constitution mirrors the due process analysis under the U.S. Constitution. Reynoso v. Dibs US, Inc., 541 S.W.3d 331, 338 (Tex. App.Houston"
Rizk v. Mayad | 603 S.W.2d 773,4,0,4,4,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | 508-509 (Tex.1984); Rizk v. Mayad, 603 S.W.2d 773, 776 (Tex.1980);"
Roanoke v. Town | 111 S.W.3d 617,4,0,4,4,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | City of Roanoke v. Town of Westlake, 111 S.W.3d 617 (Tex. App. 2003)"
Ruffier v. Ruffier | 209 S.W.3d 821,4,0,4,4,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | Child Custody: In cases involving children, In re J.C.B., 209 S.W.3d 821 (Tex. App. 2006) and Ruffier v. Ruffier, 190 S.W.3d 884 (Tex. App. 2006) explain the"
Rymer v. Lewis | 206 S.W.3d 732,4,0,4,4,fraud_perjury;appeal;law_enforcement;notice;jurisdiction,"RESEARCH\vLex-Vincent-1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--RELATOR--On-Petition-for-W (2)-1.pdf | also Rymer v. Lewis, 206 S.W.3d 732, 736 (Tex. App.Dallas 2006, no pet.)"
S.P.R.I. v. Imrex | 473 U.S. 479,4,0,4,4,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA--CHARLES-DUSTIN-MYERS------ (1)-1.pdf | of racketeering activity. Sedima, S.P.R.I. v. Imrex Co., 473 U.S. 479, 496"
SPRL v. Imrex | 473 U.S. 479,4,0,4,4,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Defendants-engaged-in-at-least-two-predicate-acts--wire-fraud--money-laundering--obstruction--etc----1.pdf | SPRL v. Imrex Co., 473 U.S. 479, 496, 105 S.Ct. 3275, 3285, 87 L.Ed.2d 346"
Santikos v. Santikos | 907 S.W.2d 484,4,0,4,4,ex_parte;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (2)-1.pdf | Owens, 907 S.W.2d 484, 484 (Tex.1995); Santikos v. Santikos, 920 S.W.2d 731, 733-34 (Tex.App.--Houston [1st Dist.] 1996, writ denied)."
Santikos v. Santikos | 920 S.W.2d 731,4,0,4,4,ex_parte;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (2)-1.pdf | Owens, 907 S.W.2d 484, 484 (Tex.1995); Santikos v. Santikos, 920 S.W.2d 731, 733-34 (Tex.App.--Houston [1st Dist.] 1996, writ denied)."
