citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
States v. Brown,5,0,5,10,rico;fraud_perjury;federal_court;property_financial;appeal,"RESEARCH\vLex-Vincent-Morgan-Michelle-Myers-and-Daniel-Branthoover-collaborated-to-devise-a-scheme-involving-the-preparati-1.pdf | racketeering activity.' United States v. Brown, 973 F.3d 667, 682 (7th Cir."
Austin v. Baker,5,0,5,9,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (3)-1.pdf | scope of representation. See Austin v. Baker & Hostetler, LLP (In re"
Brown v. Protective,5,0,5,9,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-Answer-Short-response-While-the-plaintiff-s-allegations--if-proven--could-potentially-satisfy-the-el-1.pdf | reasons of section 1962.' Brown v. Protective Life Ins. Co., 353 F.3d 405, 406"
In re Dickason,5,0,5,9,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-The-regional-presiding-judge-has-1.pdf | (orig. proceeding). Cases involving void orders present a circumstance warranting mandamus relief. In re Dickason, 987 S.W.2d 570, 571 (Tex.1998) (orig."
In re Estate,5,0,5,9,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | In In re Estate of Blankenship, No. 04-08-00043-CV (Tex. App. 5/6/2009), the court recognized that a plea could be ""properly construed as a collateral attack on"
In re Perritt,5,0,5,9,recusal;appeal;law_enforcement;ex_parte;notice,"RESEARCH\vLex-Vincent-The-presiding-judge-is-the-subject-of-a-recusal-motion-and-has-failed-to-refer-the-motion-to-the-Chi-1.pdf | In re Perritt, 992 S.W.2d 444 (Tex. 1999)"
Inc. v. SnoWizard,5,0,5,9,fraud_perjury;appeal;federal_court;property_financial;rico,"RESEARCH\vLex-Vincent-Answer-Short-response-The-factual-allegations--if-proven--describe-a-coordinated-and-ongoing-scheme--1.pdf | Ingredients, Inc. v. SnoWizard, Inc., 833 F.3d 512 (5th Cir. 2016))."
Kemp v. State,5,0,5,9,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-322-744263-23-IN-THE-322ND-DISTRICT-COURT--OF-TARRANT-COUNTY--TEXAS--Morgan-Michelle-Myers---------- (1)-1.pdf | proper guiding rules and principles. Kemp v. State, 846 S.W.2d 289, 306"
Lane v. United,5,0,5,9,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Defendants-Myers-and-Branthoover-exchanged-numerous-interstate-text-messages-and-emails--and-submitt-1.pdf | (1981) was abrogated by United States v. Lane Lane v. United States, 474"
Larrew v. Barnes,5,0,5,9,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (1)-1.pdf | (N.D. Tex. July 12, 2012) (Fitzwater, C.J.) (quoting Larrew v. Barnes, 2002"
Montesano v. Seafirst,5,0,5,9,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-Answer-Short-response-The-factual-allegations--if-proven--describe-a-coordinated-and-ongoing-scheme--1.pdf | Montesano v. Seafirst Commercial Corp., 818 F.2d 423 (5th Cir. 1987))."
Moore v. Town,5,0,5,9,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-Answer-Short-response-The-factual-allegations--if-proven--describe-a-coordinated-and-ongoing-scheme--1.pdf | property as a result (Moore v. Town N. Auto., Inc., Civil Action No. 3:14-"
Parker v. State,5,0,5,9,appeal;hearing;federal_court;jurisdiction;injunction,"RESEARCH\vLex-Vincent-Answer-Short-response-The-local-rule-requiring-all-briefs--proposed-orders--and-judgments-to-be-pres-1.pdf | Parker v. State, 51 S.W.3d 719 (Tex. App. 2001)"
States v. Fiel,5,0,5,9,rico;federal_court;appeal;property_financial;law_enforcement,"RESEARCH\vLex-Vincent--The-Plaintiff-described-an--association-in-fact-enterprise--with-defined-roles--ongoing-coordinatio-1.pdf | shared purpose and identifiable structure.' United States v. Fiel, 35 F.3d"
B.C. v. Rhodes,5,0,5,8,ex_parte;jurisdiction;notice;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-Does-a-Texas-court-have-1.pdf | B.C. v. Rhodes, 116 S.W.3d 878 (Tex. App. 2003)"
Bruno v. State,5,0,5,8,recusal;ex_parte;jurisdiction;associate_judge;appeal,"RESEARCH\regional_retired_judges.pdf | 4 S.W.3d 897 (Tex. App. 1999); Bruno v. State, 916 S.W.2d 4 (Tex. App."
Bumgarner v. Blue,5,0,5,8,fraud_perjury;appeal;law_enforcement;federal_court;property_financial,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char-1.pdf | Bumgarner v. Blue Cross &amp; Blue Shield of Kansas, 716 F. Supp. 493 (D."
Corp. v. United,5,0,5,8,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-Case-5-24-cv-01311-R-Document-18-Filed-06-30-25-Page-1-of-5-FILED-JUN-3-D-2025-IN-THE-UNITED-STATES--389ccc19-1.pdf | 2000); Cayman Exploration Corp. v. United Gas Pipe Line Co., 873 F.2d"
Gutierrez v. Givens,5,0,5,8,rico;federal_court;property_financial;fraud_perjury;appeal,"RESEARCH\vLex-Vincent-Based-on-the-above--Defendants-Myers-and-Branthoover-have-committed-multiple-RICO-predicate-acts-wir-1.pdf | Gutierrez v. Givens, 1 F.Supp.2d 1077 (S.D. Cal. 1998)"
Hlista v. Safeguard,5,0,5,8,rico;fraud_perjury;federal_court;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-Morgan-Michelle-Myers-actively-transferred-funds--prepared-fraudulent-documents--and-lied-to-the-cou-1.pdf | Moreover, Hlista v. Safeguard Props., LLC, No. 15-1812 (3rd Cir. May 05,"
In re Benavides,5,0,5,8,notice;federal_court;appeal;hearing;property_financial,"RESEARCH\RULE 12.pdf | In re Benavides, 403 S.W.3d 370 (Tex. App. 2013)"
In re Lincoln,5,0,5,8,recusal;federal_court;appeal;hearing;law_enforcement,"RESEARCH\vLex-Vincent-If-a-litigant-files-a-tieritary-recusal--and-the-opposing-party-doesn-t-respond--can-the-regional-ju-1.pdf | additional remedies. In In re Lincoln, 114 S.W.3d 724 (Tex. App. 2003), the"
In re S.S.R,5,0,5,8,notice;temporary_orders;federal_court;associate_judge;appeal,"RESEARCH\vLex-Vincent-In-Texas,-does-a-de-1.pdf | In re S.S.R., NUMBER 13-18-00576-CV (Tex. App. Mar 21, 2019): The court found that the parents request for a de novo hearing was unambiguous and"
Inc. v. Document,5,0,5,8,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (1)-1.pdf | Maiden Biosciences, Inc. v. Document Sec. Sys."
States v. Fernandez,5,0,5,8,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Defendant-Myers-traveled-from-Texas-to-Oklahoma-to-meet-with-Branthoover--where-they-prepared-fraudu-1.pdf | In United States v. Fernandez, 722 F.3d 1 (1st Cir. 2013), the court noted"
U.S. v. Edwards,5,1,4,8,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.04.25 - NOTICE OF RICO COMPLAINT-1.pdf | entitled, this could constitute extortion under color of official right. See U.S. v. Edwards, 303"
Burrell v. Concept,5,0,5,7,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-Answer-Short-response-While-the-plaintiff-s-allegations--if-proven--could-potentially-satisfy-the-el-1.pdf | Burrell v. Concept AG, LLC, CIVIL ACTION NO. 4:19-cv-00124-NBB-JMV"
Gillmor v. Thomas,5,0,5,7,fraud_perjury;appeal;discovery;law_enforcement;notice,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char-1.pdf | of the violation (Gillmor v. Thomas, 490 F.3d 791 (10th Cir. 2007); Deck v."
In re Reece,5,0,5,7,law_enforcement;recusal;jurisdiction;federal_court;associate_judge,"RESEARCH\vLex-Vincent-Is-a-direct-petition-for-1.pdf | While courts of appeals have limited mandamus jurisdiction, the Texas Supreme Court possesses broad authority to issue writs of mandamus. In In re Reece,"
In re The,5,1,4,7,appeal;hearing;mandamus;custody;injunction,"CASE DOCS\07.11.25 - RELATOR'S STATEMENT.pdf | are appearing before a neutral, detached, and fair judiciary."" In re The Tex. Dep't of"
Inc. v. Aquawood,5,0,5,7,law_enforcement;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-In-a-civil-or-criminal-RICO-claim-under-U-S--federal-law--under-what-circumstances-can-perjury-serve-1.pdf | More recently, ASI, Inc. v. Aquawood, LLC, Civil No. 19-763 (JRT/HB) (D."
Paso v. Waterblasting,5,0,5,7,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | claims asserted have merit.' See City of El Paso v. Waterblasting Techs., Inc., 491 S.W.3d 890, 894 (Tex. App.El Paso 2016, no pet.) (quoting Bland Indep."
Pereira v. United,5,0,5,7,rico;fraud_perjury;federal_court;property_financial;appeal,"RESEARCH\vLex-Vincent-Morgan-and-Daniel-engaged-in-multiple-acts--including-the-preparation-of-false-court-documents-and-t-1.pdf | Supreme Court in Pereira v. United States, 347 U.S. 1 (1954), which has not"
Provost v. First,5,0,5,7,recusal;fraud_perjury;appeal;discovery;law_enforcement,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (1)-1.pdf | Provost v. First Guar. Bank
State v. Swafford,5,0,5,7,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent-Charles-was-evicted-from-his-home--deprived-of-marital-funds--and-removed-from-his-business-as-a-dir-1.pdf | vacated by State v. Swafford, 654 S.E.2d 297, 375 S.C. 637 (S.C. App. 2007)."
Stein v. Stein,5,0,5,7,appeal;hearing;property_financial;civil_rights_1983;law_enforcement,"RESEARCH\vLex-Vincent-Is-it-illegal-for-an-attorney-to-fill-out-an-associate-judge-s-report-and-then-just-get-the-judge-s--1.pdf | and the statutory process must be followed to ensure validity. Stein v. Stein,"
Tso v. Murray,5,0,5,7,jurisdiction;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent--Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FO-1.pdf | Tso v. Murray, Civil Action No. 16-cv-2480-WJM-CBS (D. Colo. Feb 28, 2018)"
White v. Blake,5,0,5,7,law_enforcement;due_process;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-What-are-the-broader-implications-1.pdf | abuse, even if another state has concurrent jurisdiction (White v. Blake, 859 S.W.2d 551 (Tex. App. 1993); Jeffries, In re, 979 S.W.2d 429 (Tex. App. 1998))."
Wright v. Wright,5,0,5,7,notice;jurisdiction;lockout_eviction;federal_court;appeal,"RESEARCH\vLex-Vincent-1-No-25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--RELATOR--On-Petition-for-Wr-1.pdf | to hear the motion. Wright v. Wright, 867 S.W.2d 807, 811 (Tex.App.--El Paso"
Co. v. Fulmer,5,0,5,6,jurisdiction;rico;fraud_perjury;federal_court;appeal,RESEARCH\vLex-Vincent-1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff------1.pdf | Superior Oil Co. v. Fulmer. The Circuit Court found 'one isolated fraudulent
Ex parte Gorena,5,0,5,6,ex_parte;appeal;hearing;sanctions_contempt;protective_order,"RESEARCH\vLex-Vincent-If-temporary-orders-in-Texas-are-issued-without-the-respondent-s-and-their-counsel-s-signatures--but-1.pdf | perform the required acts. See Ex parte Gorena, 595 S.W.2d 841, 845 (Tex."
INC. v. Northwestern,5,0,5,6,rico;federal_court;appeal;property_financial;discovery,"RESEARCH\vLex-Vincent--The-Plaintiff-alleged-that-after-the-initial-acts-in-December-2023-January-2024--the-Defendants-con-1.pdf | HJ INC. v. Northwestern Bell Telephone Co., 653 F. Supp. 908 (D. Minn."
In re Ins,5,0,5,6,rico;fraud_perjury;federal_court;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-Morgan-Michelle-Myers-actively-transferred-funds--prepared-fraudulent-documents--and-lied-to-the-cou-1.pdf | activity.' In re Ins. Brokerage Antitrust Litig., 618 F.3d 300, 362 (3d Cir."
L.L.C. v. Houston,5,0,5,6,law_enforcement;jurisdiction;notice;rico;lockout_eviction,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA--CHARLES-DUSTIN-MYERS------ (1)-1.pdf | of an enterprise."" Gil Ramirez Grp., L.L.C. v. Houston Indep. Sch. Dist.,"
Landry v. Air,5,0,5,6,fraud_perjury;appeal;law_enforcement;notice;federal_court,RESEARCH\vLex-Vincent-Answer-Short-response-The-factual-allegations--if-proven--describe-a-coordinated-and-ongoing-scheme--1.pdf | actual injury to the business or property of the plaintiff. Landry v. Air Line
Mosley v. State,5,0,5,6,recusal;federal_court;appeal;hearing;property_financial,"RESEARCH\VLEX EVANS-1.pdf | Mosley v. State, 141 S.W.3d 816 (Tex. App. 2004)"
U.S. v. Palumbo,5,0,5,6,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Morgan-and-Daniel-engaged-in-multiple-acts--including-the-preparation-of-false-court-documents-and-t-1.pdf | U.S. v. Palumbo Bros., Inc., 145 F.3d 850 (7th Cir. 1998) emphasized that"
Dall. v. Brown,5,0,5,5,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-1-322-744263-23-IN-THE-322ND-DISTRICT-COURT-OF-TARRANT-COUNTY--TEXAS-ITMOMO--Morgan-Michelle-Myers-P-1-1.pdf | City of Dall. v. Brown, 373 S.W.3d 204 (Tex. App. 2012)"
Egana v. Blair's,5,0,5,5,law_enforcement;jurisdiction;notice;rico;lockout_eviction,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA--CHARLES-DUSTIN-MYERS------ (1)-1.pdf | of time,"" as explained in Egana v. Blair's Bail Bonds Inc, The activities of"
Garrett v. Selby,5,0,5,5,law_enforcement;jurisdiction;notice;rico;lockout_eviction,RESEARCH\vLex-Vincent-1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff----- (1)-1-1.pdf | predicate acts to establish 'pattern of racketeering activity'); Garrett v. Selby
In re America,5,5,0,5,ex_parte;temporary_orders;fraud_perjury;federal_court;appeal,"CASE DOCS\02.28.2025_REQUEST FOR RULING-1.pdf | motions, calling the delay clearly unreasonable.  In re America First Lloyds Insurance"
In re Castillo,5,0,5,5,due_process;federal_court;appeal;custody;law_enforcement,"RESEARCH\vLex-Vincent-In-a-divorce-proceeding-that-has-not-been-finalized--if-a-third-party-fraudulently-induces-the-court-1.pdf | accused of acting maliciously and corruptly....'); In re Castillo, 297 F.3d 940,"
In re D.W,5,0,5,5,due_process;notice;federal_court;appeal;hearing,"RESEARCH\vLex-Vincent-The-court-ordered-the-user-02df880d-1.pdf | so, what process is due. In re D.W., 498 S.W.3d 100, 112 (Tex. App.Houston [1st Dist.] 2016, no pet.). (citing Logan v. Zimmerman Brush Co., 455 U.S. 422,"
In re Lozano,5,0,5,5,recusal;fraud_perjury;appeal;law_enforcement;notice,RESEARCH\vLex-Vincent-1-322-744263-23-IN-THE-322ND-DISTRICT-COURT-OF-TARRANT-COUNTY--TEXAS-ITMOMO--Morgan-Michelle-Myers-P-1-1.pdf | In re Lozano 696 S.W.3d 222
In re Wilhite,5,0,5,5,recusal;ex_parte;notice;federal_court;associate_judge,"RESEARCH\vLex-Vincent-THE-STATE-OF-TEXAS-8th-ADMINISTRATIVE-JUDICIAL-REGION-ORDER-OF-ASSIGNMENT-BY-THE-PRESIDING-JUDGE-Pur-1.pdf | In re Wilhite, 298 S.W.3d 754 (Tex. App. 2009)"
Inc. v. Houston,5,0,5,5,notice;federal_court;appeal;hearing;discovery,"RESEARCH\vLex-Vincent-Does-causing-a-risk-of-1.pdf | Professional Microfilming, Inc. v. Houston, 661 S.W.2d 767, 769 (Tex.App.--Fort Worth 1983, no writ)."
L.L.C. v. ThermoTek,5,0,5,5,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (1)-1.pdf | Motion Med. Techs., L.L.C. v. ThermoTek, Inc., 875 F.3d 765 (5th Cir. 2017)."
Moon v. Harrison,5,0,5,5,rico;fraud_perjury;federal_court;property_financial;jurisdiction,RESEARCH\vLex-Vincent-The-individuals-submitted-false-documents-to-Texas-courts--which-were-prepared-in-Oklahoma--and-requ-1.pdf | through a pattern (4) of racketeering activity. Moon v. Harrison Piping
Nalle v. City,5,0,5,5,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-1-322-744263-23-IN-THE-322ND-DISTRICT-COURT-OF-TARRANT-COUNTY--TEXAS-ITMOMO--Morgan-Michelle-Myers-P-1-1.pdf | be raised at any point in the proceeding. Nalle v. City of Austin, 85 Tex. 520,"
Noland v. Gurley,5,0,5,5,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-The-wife-and-stepfather-may-argue-that-their-actions-were-part-of-a-domestic-dispute-rather-than-a-c (1)-1.pdf | (1981). I therefore held, a few months ago, in Noland v. Gurley, 566 F.Supp."
Reeder v. Kermit,5,0,5,5,law_enforcement;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent--Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FO-1.pdf | Reeder v. Kermit Johnson, Alphagraphics, Inc., 723 F.Supp. 1428 (D. Utah"
Shields v. Tracy,5,0,5,5,law_enforcement;jurisdiction;notice;rico;lockout_eviction,"RESEARCH\vLex-Vincent--Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FO-1.pdf | Bache Halsey Stuart Shields v. Tracy Collins Bank, 558 F.Supp. 1042 (D."
State v. Hodges,5,0,5,5,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-If-a-party-in-Texas-1.pdf | and give effect to the Legislature's intent. See State v. Hodges, 92 S.W.3d 489, 494 (Tex.2002). The Legislature's intent is determined by examining the language"
States v. Eisen,5,0,5,5,law_enforcement;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-In-a-civil-or-criminal-RICO-claim-under-U-S--federal-law--under-what-circumstances-can-perjury-serve-1.pdf | See United States v. Eisen, 974 F.2d 246, 253 (2d Cir. 1992) ('[W]here, as"
Templeton v. Giddings,5,0,5,5,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-1-322-744263-23-IN-THE-322ND-DISTRICT-COURT-OF-TARRANT-COUNTY--TEXAS-ITMOMO--Morgan-Michelle-Myers-P-1-1.pdf | (1947); Templeton v. Giddings, 12 S.W. 851 (Tex.1889); Stephenson v."
Transp. v. Jones,5,0,5,5,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-If-a-party-in-Texas-1.pdf | (Tex.1993). A party may challenge a court's subject matter jurisdiction by filing a plea to the jurisdiction. Tex. Dep't of Transp. v. Jones, 8 S.W.3d 636, 638-39"
Trust v. Kirchhefer,5,0,5,5,law_enforcement;jurisdiction;notice;rico;lockout_eviction,"RESEARCH\vLex-Vincent-1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff------1.pdf | Robert L. Kroenlein Trust v. Kirchhefer, 764 F.3d 1268 (10th Cir. 2014)"
In re Derzapf,4,3,1,32,recusal;fraud_perjury;appeal;discovery;law_enforcement,"CASE DOCS\05.19.2025_CASE MEMORANDUM-1.pdf | In re Derzapf,"
Vannerson v. Vannerson,4,0,4,28,law_enforcement;fraud_perjury;property_financial;appeal,"RESEARCH\vLex-Vincent-The-wife-converted-$1,576-out-1.pdf | Consideration of Asset Dissipation: Vannerson v. Vannerson, 857 S.W.2d 659 (Tex. App. 1993), although overruled by Gonzalez v. Gonzalez, 679 S.W.3d"
Ballard v. Wall,4,0,4,21,jurisdiction;federal_court;civil_rights_1983;appeal;recusal,"RESEARCH\vLex-Vincent----The-judge-and-court-coordinator-allegedly-altered-and-selectively-transmitted-recusal-motions-and-1.pdf | as established in Ballard v. Wall, 413 F.3d 510, 515 (5th Cir. 2005) and"
Brewer v. Blackwell,4,0,4,21,jurisdiction;federal_court;civil_rights_1983;appeal;fraud_perjury,"RESEARCH\vLex-Vincent----The-judge-and-court-coordinator-allegedly-altered-and-selectively-transmitted-recusal-motions-and-1.pdf | Brewer v. Blackwell, 692 F.2d 387 (5th Cir. 1982); Chapter 9-III. ABSOLUTE"
Bevil v. Johnson,4,0,4,20,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | Bevil v. Johnson, 157 Tex. 621, 307 S.W.2d 85 (Tex. 1957))."
Ozuna v. Southwest,4,0,4,20,law_enforcement;recusal;ex_parte;notice;jurisdiction,RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | dismissal for want of prosecution (Ozuna v. Southwest Bio-Clinical
Pena v. Pena,4,0,4,20,law_enforcement;recusal;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-Treat-the-following--and--tags-as-the-operative-record--Use-them-to-research-applicable-precedent-an (1)-1.pdf | correction by appeal (Pena v. Pena, 986 S.W.2d 696 (Tex. App. 1998),"
Rusk v. Rusk,4,0,4,20,law_enforcement;fraud_perjury;property_financial;appeal,"RESEARCH\vLex-Vincent-The-wife-converted-$1,576-out-1.pdf | Broad Discretion of Courts: Rusk v. Rusk, 5 S.W.3d 299 (Tex. App. 1999), affirms the broad discretion granted to trial courts under Texas Family Code "
Berdin v. Allstate,4,0,4,16,law_enforcement;fraud_perjury;discovery;appeal;protective_order,"RESEARCH\vLex-Vincent-The-wife-filed-an-uncontested-0af1cca4-1.pdf | Berdin v. Allstate Ins. Co., Anderson v. Am. Risk Ins. Co., and Guevara v. Lackner."
Boyd v. Davidovich,4,0,4,16,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | One common ground for challenging jurisdiction in family law cases involves the statutory residency requirements for divorce proceedings. Boyd v. Davidovich
Corp. v. Port,4,0,4,16,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | Challenging the Pleadings: The Texas Supreme Court in Zachry Constr. Corp. v. Port of Hous. Auth. of Harris Cnty., 449 S.W.3d 98 (Tex. 2014) explained"
Desta v. Anyaoha,4,0,4,16,law_enforcement;fraud_perjury;discovery;appeal;protective_order,"RESEARCH\vLex-Vincent-The-wife-filed-an-uncontested-0af1cca4-1.pdf | Fraudulent Inducement: As outlined in Desta v. Anyaoha, fraudulent inducement requires proving a false material misrepresentation that was known to be"
Ex parte Busby,4,0,4,16,ex_parte;jurisdiction;fraud_perjury;federal_court;discovery,"RESEARCH\vLex-Vincent-The-wife-made-false-statements-1.pdf | statements are material and affect the outcome, as demonstrated in Ex parte Busby, 921 S.W.2d 389 (Tex. App. 1996). This principle is relevant because it"
Ex parte Powell,4,0,4,16,ex_parte;jurisdiction;fraud_perjury;federal_court;discovery,"RESEARCH\vLex-Vincent-The-wife-made-false-statements-1.pdf | and administration of the law, as seen in Ex parte Powell, 883 S.W.2d 775 (Tex. App. 1994). This principle supports the argument that the wife's actions are"
Giles v. Giles,4,4,0,16,fraud_perjury;appeal;discovery;law_enforcement;notice,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | Giles v. Giles,"
ISD v. Blue,4,0,4,16,law_enforcement;due_process;jurisdiction;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | Bland ISD v. Blue, 34 S.W.3d 547 (Tex. 2000) defined it as ""a dilatory plea, the purpose of which is to defeat a cause of action without regard to whether the"
ISD v. Davis,4,0,4,16,due_process;custody;federal_court;appeal,"RESEARCH\vLex-Vincent-The-court-issued-orders-without-1.pdf | Substantial Evidence Rule: The necessity for decisions to be supported by substantial evidence is highlighted in Montgomery ISD v. Davis, 34 S.W.3d 559"
In re Laurie,4,0,4,16,notice;jurisdiction;federal_court;associate_judge;appeal,"RESEARCH\vLex-Vincent-322-744263-23-IN-THE-322ND-DISTRICT-COURT--OF-TARRANT-COUNTY--TEXAS--Morgan-Michelle-Myers-----------1.pdf | authority (In re Laurie, 691 S.W.3d 769 (Tex. App. 2024); In re Harris (Tex."
In re Oates,4,0,4,16,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | In re Oates, 104 S.W.3d 571 (Tex. App. 2003) explains that ""A plea to the jurisdiction is a dilatory plea by which a party contests the trial court's authority to"
In re S.L.P,4,0,4,16,jurisdiction;lockout_eviction;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-are-the-grounds-and-1.pdf | decline to exercise its jurisdiction"" with certain exceptions. This was applied in In re S.L.P., 123 S.W.3d 685 (Tex. App. 2003), which noted that ""The UCCJEA"
Kennedy v. Hyde,4,0,4,16,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | (Tidwell v. Tidwell, 2019; Kennedy v. Hyde, 1984)."
Kerwick v. Pullman,4,0,4,16,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-Draft-a-civil-RICO-complaint-based-on-the-provided-facts--establishing-the-existence-of-an-enterpris-1.pdf | Kerwick v. Pullman & Comley LLC, 3:24-CV-00427 (KAD) (D. Conn. Dec"
Kirkconnell v. Kirkconnell,4,0,4,16,law_enforcement;fraud_perjury;property_financial;appeal,"RESEARCH\vLex-Vincent-The-wife-converted-$1,576-out-1.pdf | each party. This principle is supported by Kirkconnell v. Kirkconnell, NO. 01-19-00449-CV (Tex. App. Nov 14, 2019), which allows the court to consider factors"
Mantas v. Fifth,4,0,4,16,hearing;property_financial;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-initial-orders-evolved-into-0d1f0edc-1.pdf | breach of contract claim (Pena v. Smith, 2010; Mantas v. Fifth Court of Appeals, 1996)."
